 id  | usrcnt 
-----+--------
  30 |    282
 112 |     36
  79 |     36
  99 |     32
 235 |     24
 390 |     19
   1 |     18
 239 |     15
   2 |     14
 272 |     13
   4 |     13
 108 |     13
   9 |     12
  49 |     11
  75 |     11
  29 |     11
 209 |     10
 214 |     10
  38 |     10
  31 |      9
  70 |      9
  46 |      9
 324 |      9
   5 |      9
 109 |      9
 252 |      9
  73 |      8
   7 |      7
  24 |      7
 165 |      7
  27 |      7
  42 |      7
  43 |      7
   8 |      7
  81 |      7
 234 |      7
  28 |      6
 473 |      6
  10 |      6
  34 |      6
  15 |      5
  98 |      5
  77 |      5
 336 |      5
 254 |      5
  33 |      5
  64 |      5
  40 |      5
  36 |      5
  16 |      4
  62 |      4
  35 |      4
  32 |      4
  96 |      4
 193 |      4
  50 |      4
  47 |      4
 357 |      3
  23 |      3
  45 |      3
  51 |      3
  53 |      3
  61 |      3
  65 |      3
  68 |      3
  86 |      3
  95 |      3
 101 |      3
 115 |      3
 270 |      3
 330 |      3
 389 |      3
 545 |      3
  80 |      2
  37 |      2
 430 |      2
 442 |      2
  78 |      2
 118 |      2
 159 |      2
 297 |      2
 482 |      2
 208 |      2
 241 |      2
 192 |      2
 326 |      2
  44 |      2
 554 |      2
 232 |      1
  89 |      1
  88 |      1
 236 |      1
  83 |      1
 244 |      1
 546 |      1
  67 |      1
 303 |      1
 308 |      1
  66 |      1
  55 |      1
 338 |      1
 343 |      1
 344 |      1
 345 |      1
 351 |      1
 352 |      1
 355 |      1
 356 |      1
 365 |      1
 564 |      1
 468 |      1
 471 |      1
  25 |      1
 481 |      1
 497 |      1
 584 |      1
 121 |      1
 131 |      1
 133 |      1
 137 |      1
 136 |      1
 138 |      1
 160 |      1
 176 |      1
 178 |      1
 188 |      1
 107 |      1
 203 |      1
 104 |      1
 210 |      1
 212 |      1
  92 |      1
 223 |      1
 228 |      1
 230 |      1

