volume,usrcnt
1,441
2,395
4,150
5,117
7,81
8,168
9,18644
10,34
11,7
15,85
16,33
23,30
24,56
27,163
28,64
29,95
30,209
31,141
32,14
33,30
34,216
35,37
36,49
37,51
38,120
40,7
41,5
42,57
43,21
44,306
45,49
46,105
47,29
49,215
50,29
51,21
53,50
56,5
57,6
58,4
59,1
61,61
62,50
63,2
64,44
65,28
67,6
70,323
73,1322
75,227
77,1128
79,33
81,260
83,11
84,5
86,19
87,15
88,16
89,23
90,102
93,3
94,2
96,29
98,66
99,70
101,9
102,1
104,2
106,1
107,2
108,140
111,6
112,755
114,70
115,3
116,5
118,5
119,9
121,3
122,23
123,23
124,11
132,7
133,3
134,4
135,6
136,8
137,45
138,2
139,5
140,15
141,18
142,1
143,4
144,8
145,8
146,4
147,4
148,5
149,7
150,6
151,6
152,8
154,6
159,43
160,18
161,20
162,11
163,3
165,47
166,4
167,1
168,6
169,3
171,3
174,2
176,17
177,3
178,14
179,12
180,14
181,1
184,15
185,1
186,3
187,12
188,4
189,4
190,4
192,44
193,204
194,5
195,1
197,1
198,2
199,2
200,2
201,2
202,2
203,21
205,1
206,1
207,11
208,5
209,2133
210,3
212,7
213,1
214,81
216,10
217,6
218,7
219,2
221,6
222,4
223,7
224,20
225,15
226,6
227,5
228,13
229,1
230,2
232,66
233,3
234,13
235,146
236,105
237,13
239,4387
241,216
242,2
243,5
244,5
248,95
250,9
251,1
252,67
253,8
254,106
255,3
256,2
260,6
262,2
263,2
264,9
265,1
268,2
269,8
270,9
271,3
272,3690
273,8
277,1
278,7
279,6
280,1
282,7
283,1
284,5
287,1
288,1
289,3
290,1
291,1
292,2
295,5
296,2
297,16
299,3
300,3
301,2
303,2
304,5
305,6
306,14
307,1
308,3
317,1
318,1
319,1
320,1
321,4
322,9
323,2
324,1799
325,2
326,2102
327,2
328,1
329,1
330,147
334,1
335,3
336,1467
337,4
338,2
339,2
340,10
341,4
342,1
343,1
346,1
347,2
348,2
349,6
350,4
351,3
352,1
353,2
355,3
356,1
357,5
359,4
360,3
365,76
366,3
368,6
372,1
388,4
389,7
390,13
392,1
393,2
400,2
430,10
431,9
433,1
434,7
435,2
436,3
438,2
439,3
440,1
441,1
442,3
443,1
444,14
445,3
447,3
448,4
451,1
452,1
453,2
454,8
455,2
457,3
458,4
459,2
460,2
461,1
462,1
463,1
464,1
465,1
466,9
468,4
471,79
472,2
473,1117
474,3
475,5
476,3
477,1
479,1
480,2
481,5
482,2
484,3
487,6
489,2
491,1
492,1
494,1
497,4
499,1
501,7
502,5
507,1
508,1
509,2
510,3
511,1
515,1
516,1
517,2
519,1
520,1
521,5
522,1
523,1
524,1
525,1
526,1
528,5
530,1
535,1
544,1
545,11
546,9
548,1
549,2
550,1
553,4
554,734
555,1
557,1
560,1
563,2
564,2
566,1
567,2
570,1
572,2
577,1
578,1
579,3
581,1
582,1
584,4
586,2
590,2
591,2
594,3
595,247
596,244
597,1
599,1
603,1
607,1
