volume,usrcnt
9,18643
239,4380
272,3689
209,2133
326,2101
324,1799
336,1467
73,1322
77,1128
473,1117
112,753
554,733
1,435
2,395
70,322
44,305
81,260
595,247
596,244
75,225
241,216
49,214
34,214
193,204
8,164
27,162
4,149
330,147
235,144
30,141
31,140
108,135
38,120
5,113
236,105
254,105
46,104
90,102
248,95
29,95
15,83
214,81
7,79
471,79
365,76
99,70
114,70
232,66
252,65
28,64
98,61
61,60
42,56
24,56
37,51
53,50
62,49
45,49
36,48
137,45
192,44
159,43
64,43
165,39
35,37
10,33
16,32
79,30
33,30
47,29
23,29
96,28
50,28
65,27
89,23
123,23
122,22
51,21
203,21
224,20
43,20
161,20
86,19
141,18
160,18
176,17
297,16
88,16
184,15
87,15
140,15
225,15
444,14
180,14
178,14
306,14
32,14
237,13
228,13
187,12
179,12
83,11
207,11
162,11
124,11
340,10
430,10
216,10
466,9
264,9
101,9
431,9
119,9
322,9
250,9
546,8
273,8
253,8
269,8
145,8
152,8
136,8
454,8
144,8
223,7
11,7
501,7
132,7
212,7
218,7
390,7
149,7
434,7
282,7
278,7
217,6
221,6
57,6
226,6
154,6
135,6
168,6
487,6
349,6
260,6
368,6
279,6
150,6
305,6
151,6
67,6
139,5
148,5
521,5
118,5
481,5
116,5
528,5
194,5
475,5
208,5
84,5
227,5
56,5
41,5
304,5
243,5
244,5
295,5
357,5
284,5
502,5
166,4
134,4
584,4
448,4
388,4
458,4
553,4
321,4
147,4
111,4
190,4
189,4
359,4
188,4
146,4
350,4
341,4
497,4
234,4
337,4
40,4
58,4
222,4
143,4
389,4
442,3
93,3
115,3
121,3
133,3
163,3
169,3
171,3
177,3
186,3
210,3
233,3
255,3
270,3
271,3
299,3
300,3
308,3
335,3
351,3
355,3
360,3
366,3
436,3
439,3
445,3
447,3
457,3
474,3
476,3
484,3
510,3
545,3
579,3
594,3
590,2
202,2
242,2
230,2
509,2
453,2
201,2
455,2
591,2
517,2
200,2
459,2
138,2
460,2
572,2
393,2
400,2
348,2
107,2
219,2
199,2
468,2
198,2
472,2
339,2
549,2
263,2
104,2
435,2
63,2
567,2
438,2
563,2
564,2
303,2
301,2
480,2
94,2
482,2
262,2
338,2
489,2
296,2
292,2
323,2
256,2
325,2
347,2
327,2
353,2
174,2
586,2
511,1
515,1
516,1
519,1
520,1
522,1
523,1
524,1
525,1
526,1
530,1
535,1
544,1
599,1
106,1
548,1
550,1
102,1
555,1
557,1
560,1
307,1
566,1
317,1
318,1
319,1
320,1
291,1
290,1
328,1
329,1
334,1
289,1
288,1
287,1
283,1
280,1
342,1
343,1
346,1
277,1
268,1
570,1
352,1
356,1
265,1
577,1
578,1
372,1
251,1
392,1
229,1
433,1
213,1
603,1
440,1
441,1
206,1
443,1
205,1
451,1
452,1
461,1
462,1
463,1
464,1
465,1
197,1
607,1
195,1
477,1
479,1
185,1
59,1
181,1
491,1
492,1
494,1
499,1
167,1
142,1
507,1
508,1
597,1

