inst_id,inst_name,inst_url,databrary_url,n_auth_invest,daa,lat,lon
2,Staff,NA,https://nyu.databrary.org/party/2,0,FALSE,NA,NA
8,New York University (NYU),http://www.nyu.edu/,https://nyu.databrary.org/party/8,32,TRUE,40.7295134,-73.9964609
9,National Science Foundation (NSF),NA,https://nyu.databrary.org/party/9,0,FALSE,38.8016276,-77.0704465
10,National Institutes of Health (NIH),https://www.nih.gov/,https://nyu.databrary.org/party/10,0,FALSE,35.6606582,-97.4965672
12,"Pennsylvania State University, University Park",http://www.psu.edu,https://nyu.databrary.org/party/12,20,TRUE,40.8147955,-77.8653126
15,National Institute of Child Health and Human Development (NICHD),NA,https://nyu.databrary.org/party/15,0,FALSE,39.0292164,-77.1355101
43,"University of Wisconsin, Madison",https://www.wisc.edu/,https://nyu.databrary.org/party/43,11,TRUE,43.076592,-89.4124875
44,University of Michigan,https://umich.edu/,https://nyu.databrary.org/party/44,10,TRUE,42.2780436,-83.7382241
45,University of Rochester,https://www.rochester.edu/,https://nyu.databrary.org/party/45,4,TRUE,43.1305531,-77.6260033
46,Georgia State University,http://www.gsu.edu/,https://nyu.databrary.org/party/46,3,TRUE,33.753068,-84.3852819
47,Okinawa Institute of Science and Technology (OIST),NA,https://nyu.databrary.org/party/47,0,FALSE,26.4643027,127.8301869
49,University of Southern California,https://www.usc.edu/,https://nyu.databrary.org/party/49,4,TRUE,34.0223519,-118.285117
50,Carnegie Mellon University (CMU),https://www.cmu.edu/,https://nyu.databrary.org/party/50,5,TRUE,40.4427314,-79.9429552
51,"Rutgers University, Newark",https://www.newark.rutgers.edu/,https://nyu.databrary.org/party/51,7,TRUE,40.741078,-74.1732736
52,"Rutgers University, New Brunswick",https://newbrunswick.rutgers.edu/,https://nyu.databrary.org/party/52,5,TRUE,40.5008186,-74.4473991
53,University of Miami,https://welcome.miami.edu/,https://nyu.databrary.org/party/53,3,TRUE,25.7904064,-80.2119928
54,University of Virginia,http://www.virginia.edu/,https://nyu.databrary.org/party/54,9,TRUE,38.0335529,-78.5079772
55,Indiana University,https://www.indiana.edu/,https://nyu.databrary.org/party/55,7,TRUE,39.1745704,-86.5129458
56,College of William & Mary,https://www.wm.edu/,https://nyu.databrary.org/party/56,1,TRUE,37.271674,-76.713378
57,University of Texas at Austin,https://www.utexas.edu/,https://nyu.databrary.org/party/57,8,TRUE,30.2849185,-97.7340567
58,McMaster University,http://www.mcmaster.ca/,https://nyu.databrary.org/party/58,5,TRUE,43.260879,-79.9192254
59,University of Chicago,https://www.uchicago.edu/,https://nyu.databrary.org/party/59,7,TRUE,41.7886079,-87.5987133
112,Brown University,https://www.brown.edu/,https://nyu.databrary.org/party/112,5,TRUE,41.8267718,-71.4025482
113,Tulane University,https://tulane.edu/,https://nyu.databrary.org/party/113,5,TRUE,29.9403477,-90.1207279
114,"University of Massachusetts, Boston",https://www.umb.edu/,https://nyu.databrary.org/party/114,3,TRUE,42.3144915,-71.0373279
115,Virginia Tech,https://vt.edu/,https://nyu.databrary.org/party/115,5,TRUE,37.2283843,-80.4234167
116,University of Georgia,https://www.uga.edu/,https://nyu.databrary.org/party/116,1,TRUE,33.9480053,-83.3773221
119,Vanderbilt University,https://www.vanderbilt.edu/,https://nyu.databrary.org/party/119,6,TRUE,36.1447034,-86.8026551
122,New York State Institute for Basic Research in Developmental Disabilities,NA,https://nyu.databrary.org/party/122,0,FALSE,40.5976369,-74.1421854
128,Texas A&M University,https://www.tamu.edu/,https://nyu.databrary.org/party/128,1,TRUE,30.618531,-96.336499
134,Yale University,https://www.yale.edu/,https://nyu.databrary.org/party/134,6,TRUE,41.3163244,-72.9223431
135,Brigham Young University,https://www.byu.edu/,https://nyu.databrary.org/party/135,3,TRUE,40.2518435,-111.6493156
136,Georgetown University,https://www.georgetown.edu/,https://nyu.databrary.org/party/136,3,TRUE,38.9076089,-77.0722585
137,"University of Maryland, College Park",https://www.umd.edu/,https://nyu.databrary.org/party/137,18,TRUE,38.9869183,-76.9425543
139,University of Sheffield,NA,https://nyu.databrary.org/party/139,0,FALSE,53.3809409,-1.4879469
140,University of Reading,http://www.reading.ac.uk/,https://nyu.databrary.org/party/140,3,TRUE,51.4414205,-0.9418157
141,"University of California, Berkeley",http://www.berkeley.edu/,https://nyu.databrary.org/party/141,3,TRUE,37.8718992,-122.2585399
142,"University of California, Riverside",http://www.ucr.edu/,https://nyu.databrary.org/party/142,6,TRUE,33.9737055,-117.3280644
143,University of Padua,NA,https://nyu.databrary.org/party/143,4,TRUE,45.406766,11.8774462
144,Ludwig Maximilian University of Munich,https://www.en.uni-muenchen.de/index.html,https://nyu.databrary.org/party/144,2,TRUE,48.150806,11.58043
146,Temple University,https://www.temple.edu/,https://nyu.databrary.org/party/146,7,TRUE,39.9811935,-75.1553512
156,University of Hartford,NA,https://nyu.databrary.org/party/156,0,FALSE,41.7985989,-72.7140002
157,University of Pittsburgh,https://www.pitt.edu/,https://nyu.databrary.org/party/157,5,TRUE,40.4443533,-79.960835
159,"Birkbeck, University of London",http://www.bbk.ac.uk/,https://nyu.databrary.org/party/159,3,TRUE,51.5218563,-0.1303146
164,Georgia Institute of Technology,https://www.gatech.edu/,https://nyu.databrary.org/party/164,4,TRUE,33.7756178,-84.396285
165,Ryerson University,http://www.ryerson.ca/,https://nyu.databrary.org/party/165,4,TRUE,43.6576585,-79.3788017
166,University of Oregon,https://www.uoregon.edu/,https://nyu.databrary.org/party/166,6,TRUE,44.0448302,-123.0726055
167,University of New Mexico,http://www.unm.edu/,https://nyu.databrary.org/party/167,2,TRUE,35.0843187,-106.6197812
168,University of Portsmouth,http://www.port.ac.uk/,https://nyu.databrary.org/party/168,5,TRUE,50.7951287,-1.0935686
169,University of Redlands,NA,https://nyu.databrary.org/party/169,0,FALSE,34.0630404,-117.1632426
170,Duke University,https://www.duke.edu/,https://nyu.databrary.org/party/170,2,TRUE,36.0014258,-78.9382286
171,Stanford University,https://www.stanford.edu/,https://nyu.databrary.org/party/171,9,TRUE,37.4274745,-122.169719
172,"College of Staten Island, CUNY",https://www.csi.cuny.edu/,https://nyu.databrary.org/party/172,5,TRUE,40.6021388,-74.1503817
173,"University of California, San Diego",https://ucsd.edu/,https://nyu.databrary.org/party/173,4,TRUE,32.8800604,-117.2340135
174,Gallaudet University,https://my.gallaudet.edu/,https://nyu.databrary.org/party/174,4,TRUE,38.908422,-76.9923875
175,Albert Einstein College of Medicine,http://www.einstein.yu.edu/,https://nyu.databrary.org/party/175,0,TRUE,40.8521451,-73.8443938
176,Arizona State University,https://www.asu.edu/,https://nyu.databrary.org/party/176,8,TRUE,33.4242399,-111.9280527
177,Babes-Bolyai University,http://www.ubbcluj.ro/en/,https://nyu.databrary.org/party/177,3,TRUE,46.7677955,23.5912762
178,Boston College,https://www.bc.edu/,https://nyu.databrary.org/party/178,4,TRUE,42.3355488,-71.1684945
179,Boston University,https://www.bu.edu/,https://nyu.databrary.org/party/179,12,TRUE,42.3504997,-71.1053991
180,Bucknell University,http://www.bucknell.edu/,https://nyu.databrary.org/party/180,0,FALSE,40.9546869,-76.8835514
181,Columbia University,https://www.columbia.edu/,https://nyu.databrary.org/party/181,3,TRUE,40.8075355,-73.9625727
182,Cornell University,https://www.cornell.edu/,https://nyu.databrary.org/party/182,5,TRUE,42.4534492,-76.4735027
183,Dartmouth College,https://home.dartmouth.edu/,https://nyu.databrary.org/party/183,0,FALSE,43.7044406,-72.2886935
184,East Carolina University,https://www.ecu.edu/,https://nyu.databrary.org/party/184,1,TRUE,35.6055108,-77.3645653
185,East Tennessee State University,http://www.etsu.edu/ehome/,https://nyu.databrary.org/party/185,2,TRUE,36.3025374,-82.3701933
186,Emory University,http://www.emory.edu/home/index.html,https://nyu.databrary.org/party/186,6,TRUE,33.7925195,-84.3239989
187,Florida International University,https://www.fiu.edu/,https://nyu.databrary.org/party/187,3,TRUE,25.756576,-80.373949
188,George Mason University,https://www2.gmu.edu/,https://nyu.databrary.org/party/188,4,TRUE,38.8315541,-77.3120885
189,George Washington University,https://www.gwu.edu/,https://nyu.databrary.org/party/189,2,TRUE,38.8997145,-77.0485992
190,Harvard University,https://www.harvard.edu/,https://nyu.databrary.org/party/190,7,TRUE,42.3770029,-71.1166601
193,Johns Hopkins University,https://www.jhu.edu/,https://nyu.databrary.org/party/193,5,TRUE,39.3299013,-76.6205177
194,Lafayette College,https://www.lafayette.edu/,https://nyu.databrary.org/party/194,1,TRUE,40.6986202,-75.2087298
195,Massachusetts Institute of Technology,http://web.mit.edu/,https://nyu.databrary.org/party/195,5,TRUE,42.360091,-71.09416
