session_id,session_name,session_date,session_release,participant1_ID,participant1_birthdate,participant1_gender,participant1_race,participant1_ethnicity,participant1_disability,participant1_language,participant2_ID,participant2_birthdate,participant2_gender,participant2_race,participant2_ethnicity,participant2_disability,participant2_language,pilot_pilot,exclusion_reason,context_setting,context_language,context_country,vol_id
6122,NA,2013-XX-XX,PRIVATE,1017,NA,Male,More than one,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6123,NA,2013-12-20,EXCERPTS,1015,2013-06-28,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6124,NA,2013-XX-XX,PRIVATE,1014,NA,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6125,NA,2013-XX-XX,PRIVATE,1013,NA,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6126,NA,2013-12-17,SHARED,1012,2012-08-05,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6127,NA,2013-12-07,EXCERPTS,1011,2012-03-19,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6128,NA,2013-XX-XX,PRIVATE,1010,NA,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6129,NA,2013-05-14,EXCERPTS,1009,2012-09-11,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6130,NA,2013-05-10,EXCERPTS,1008,2012-09-11,Female,White,Not Hispanic or Latino,typical,"English, Swedish",NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6131,NA,2014-05-07,EXCERPTS,1007,2012-09-03,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6132,NA,2013-05-03,SHARED,1006,2012-08-27,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6133,NA,2013-05-03,EXCERPTS,1005,2012-09-05,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6134,NA,2013-XX-XX,PRIVATE,1004,NA,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6135,NA,2013-XX-XX,PRIVATE,1003,NA,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6136,NA,2013-XX-XX,PRIVATE,1002,NA,Female,Unknown or not reported,Unknown or not reported,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6137,NA,2013-XX-XX,PRIVATE,1001,NA,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,English,US,11
6138,NA,2014-02-04,SHARED,102,2012-01-25,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,Did not meet inclusion criteria,Home,Tajik,Tajikistan,11
6139,NA,2014-01-30,EXCERPTS,101,2013-01-24,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,Did not meet inclusion criteria,Home,Tajik,Tajikistan,11
6140,NA,2014-01-30,SHARED,100,2013-05-30,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,Did not meet inclusion criteria,Home,Tajik,Tajikistan,11
6141,NA,2014-01-29,EXCERPTS,099,2012-05-24,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,Did not meet inclusion criteria,Home,Tajik,Tajikistan,11
6142,NA,2013-12-12,EXCERPTS,098,2013-04-06,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6143,NA,2013-12-12,EXCERPTS,097,2013-04-19,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6144,NA,2013-12-11,EXCERPTS,096,2012-08-15,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6145,NA,2013-12-10,EXCERPTS,095,2013-04-06,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6146,NA,2013-12-10,EXCERPTS,094,2013-08-07,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6147,NA,2013-12-06,EXCERPTS,093,2012-04-06,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6148,NA,2013-12-06,EXCERPTS,092,2013-04-05,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6149,NA,2013-12-05,EXCERPTS,091,2011-12-04,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6150,NA,2013-12-05,EXCERPTS,090,2012-03-31,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6151,NA,2013-12-04,EXCERPTS,089,2012-11-30,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6152,NA,2013-12-04,SHARED,088,2012-04-28,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,Did not meet inclusion criteria,Home,Tajik,Tajikistan,11
6153,NA,2013-12-03,SHARED,087,2011-11-26,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6154,NA,2013-12-03,EXCERPTS,086,2012-03-29,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6155,NA,2013-11-29,EXCERPTS,085,2012-08-01,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6156,NA,2013-11-28,EXCERPTS,084,2012-04-01,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6157,NA,2013-11-27,EXCERPTS,083,2012-07-21,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6158,NA,2013-11-27,EXCERPTS,082,2011-11-21,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6159,NA,2013-11-26,EXCERPTS,081,2012-07-26,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6160,NA,2013-11-26,EXCERPTS,080,2011-11-26,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6161,NA,2013-XX-XX,NA,079,NA,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6162,NA,2013-11-22,EXCERPTS,078,2012-07-15,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6163,NA,2013-11-20,EXCERPTS,077,2012-11-23,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6164,NA,2013-11-20,EXCERPTS,076,2012-03-27,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6165,NA,2013-11-15,EXCERPTS,075,2011-11-16,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6166,NA,2013-11-14,EXCERPTS,074,2012-03-19,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6167,NA,2013-11-13,EXCERPTS,073,2012-11-12,Male,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6168,NA,2013-11-13,EXCERPTS,072,2012-03-15,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
6169,NA,2013-11-12,EXCERPTS,071,2011-11-11,Female,Asian,Not Hispanic or Latino,typical,Tajik,NA,NA,NA,NA,NA,typical,English,NA,NA,Home,Tajik,Tajikistan,11
