session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,exclusion1_name,exclusion1_description,exclusion2_name,exclusion2_description,condition1_name,condition2_name,condition3_name,condition4_name,condition5_name,condition6_name,condition7_name,vol_id
6280,NA,2010-02-03,SHARED,F-AA-01,2004-09-14,Female,Black or African American,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Neutral,Happy,Sad,Fear,Disgust,Angry,Surprise,30
6281,NA,2010-02-03,SHARED,F-AA-02,2003-06-23,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Angry,Sad,Fear,Disgust,Surprise,30
6282,NA,2010-02-03,SHARED,F-AA-03,2004-02-27,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Angry,Sad,Fear,Surprise,Disgust,30
6283,NA,2010-02-16,SHARED,F-AA-05,2006-01-02,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Happy,NA,NA,NA,NA,NA,30
6284,NA,2010-02-17,SHARED,F-AA-06,2004-08-28,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Surprise,Angry,Fear,Disgust,Sad,30
6285,NA,2010-02-17,SHARED,F-AA-07,2003-10-23,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Fear,Angry,Sad,Surprise,Disgust,30
6286,NA,2010-02-23,SHARED,F-AA-08,2004-11-06,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Angry,Disgust,Sad,Surprise,NA,30
6287,NA,2010-03-04,SHARED,F-AA-09,2005-01-10,Female,Black or African American,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Sad,Surprise,Disgust,Angry,Fear,NA,30
6288,NA,2010-03-04,SHARED,F-AA-10,2004-03-22,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Angry,Fear,Surprise,Disgust,Happy,Sad,30
6289,NA,2010-03-06,SHARED,F-AA-11,2003-11-21,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Angry,Surprise,Disgust,NA,NA,30
