session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,task_name,task_description,context_setting,context_language,context_state,vol_id
6545,NA,2014-09-29,EXCERPTS,1,1992-04-18,Female,Asian,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6546,NA,2014-10-08,EXCERPTS,2,1991-11-30,Male,Asian,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6547,NA,2014-10-08,EXCERPTS,3,1991-09-21,Female,White,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6567,NA,2014-10-08,EXCERPTS,4,1992-12-28,Female,White,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6568,NA,2014-10-13,EXCERPTS,5,1985-10-31,Female,White,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6569,NA,2014-10-15,SHARED,6,1993-04-08,Male,Unknown or not reported,Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6570,NA,2014-10-15,EXCERPTS,7,1993-11-11,Female,More than one,Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6571,NA,2014-10-17,EXCERPTS,8,1993-09-20,Female,Asian,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6572,NA,2014-10-21,EXCERPTS,9,1989-03-10,Male,White,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6573,NA,2014-10-29,EXCERPTS,10,1994-04-30,Male,White,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6574,NA,2014-10-29,EXCERPTS,11,1989-11-16,Male,White,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6575,NA,2014-10-31,EXCERPTS,12,1993-09-18,Male,White,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6925,NA,2014-12-05,EXCERPTS,13,1994-01-11,Female,Black or African American,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6926,NA,2014-12-05,EXCERPTS,14,1994-03-06,Female,More than one,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6927,NA,2014-12-05,SHARED,15,1994-04-14,Female,Asian,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6928,NA,2014-12-05,EXCERPTS,16,1994-11-24,Male,Black or African American,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
6946,NA,2014-12-09,EXCERPTS,17,1995-05-14,Male,Asian,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
7005,NA,2014-12-12,EXCERPTS,19,1993-09-27,Female,Asian,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
7006,NA,2014-12-12,EXCERPTS,18,1993-02-12,Female,White,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
7007,NA,2014-XX-XX,PRIVATE,20,NA,Female,White,Not Hispanic or Latino,typical,English,Study 1,Study 1,Lab,English,NY,84
7151,NA,2015-01-06,EXCERPTS,21,1991-01-30,Male,Asian,Not Hispanic or Latino,typical,English,Study 2,Study 2,Lab,English,NY,84
7152,NA,2015-01-07,SHARED,22,1989-03-30,Male,Asian,Not Hispanic or Latino,typical,English,Study 2,Study 2,Lab,English,NY,84
7178,NA,2015-01-15,EXCERPTS,23,1988-09-30,Female,Unknown or not reported,Hispanic or Latino,typical,English,Study 3,Study 3,Lab,English,NY,84
7179,NA,2015-01-23,EXCERPTS,24,1991-05-26,Female,Asian,Not Hispanic or Latino,typical,English,Study 3,Study 3,Lab,English,NY,84
7180,NA,2015-01-23,EXCERPTS,25,1990-12-30,Female,White,Not Hispanic or Latino,typical,English,Study 3,Study 3,Lab,English,NY,84
7194,NA,2015-01-30,SHARED,26,1987-04-22,Female,White,Not Hispanic or Latino,typical,English,Study 2,Study 2,Lab,English,NY,84
7195,NA,2015-01-30,EXCERPTS,27,1993-01-25,Male,White,Not Hispanic or Latino,typical,English,Study 3,Study 3,Lab,English,NY,84
7196,NA,2015-02-06,EXCERPTS,28,1992-09-19,Female,Asian,Not Hispanic or Latino,typical,English,Study 3,Study 3,Lab,English,NY,84
7284,NA,2015-02-12,EXCERPTS,29,1985-07-06,Male,White,Not Hispanic or Latino,typical,English,Study 3,Study 3,Lab,English,NY,84
7304,NA,2015-02-13,SHARED,30,1993-08-19,Female,Asian,Not Hispanic or Latino,typical,English,Study 3,Study 3,Lab,English,NY,84
7305,NA,2015-02-13,EXCERPTS,31,1986-09-15,Female,Asian,Not Hispanic or Latino,typical,English,Study 3,Study 3,Lab,English,NY,84
7306,NA,2015-02-13,EXCERPTS,32,1996-10-03,Male,Asian,Not Hispanic or Latino,typical,English,Study 3,Study 3,Lab,English,NY,84
