session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,condition_name,vol_id
7919,NA,2012-XX-XX,NA,002,NA,Female,White,Hispanic or Latino,Strange Situation,108
7921,NA,2013-06-05,SHARED,053,2012-05-22,Male,White,Hispanic or Latino,Strange Situation,108
9145,NA,NA,NA,002,NA,Female,White,Hispanic or Latino,FFSF,108
9146,NA,NA,NA,053,2012-05-22,Male,White,Hispanic or Latino,FFSF,108
9234,NA,2013-05-24,SHARED,037,2012-04-10,Male,More than one,Not Hispanic or Latino,Strange Situation,108
9235,NA,2013-05-29,SHARED,043,2012-05-07,Female,Black or African American,Not Hispanic or Latino,Strange Situation,108
9236,NA,2013-04-30,SHARED,045,2012-05-12,Male,White,Not Hispanic or Latino,Strange Situation,108
9237,NA,2013-05-13,SHARED,046,2012-05-12,Female,White,Hispanic or Latino,Strange Situation,108
9238,NA,2013-05-30,SHARED,055,2012-05-20,Male,White,Hispanic or Latino,Strange Situation,108
9239,NA,2013-10-07,SHARED,061,2012-10-05,Male,White,Not Hispanic or Latino,Strange Situation,108
9240,NA,2013-10-31,SHARED,071,2012-10-25,Male,More than one,Hispanic or Latino,Strange Situation,108
9241,NA,2014-01-13,SHARED,077,2012-12-19,Male,Black or African American,Not Hispanic or Latino,Strange Situation,108
9242,NA,2013-12-16,SHARED,081,2012-12-19,Female,Black or African American,Not Hispanic or Latino,Strange Situation,108
9243,NA,2014-01-10,SHARED,082,2012-12-18,Female,White,Hispanic or Latino,Strange Situation,108
9244,NA,2014-01-15,SHARED,087,2013-01-25,Female,White,Hispanic or Latino,Strange Situation,108
10304,NA,2012-XX-XX,NA,003,NA,Female,White,Hispanic or Latino,Strange Situation,108
10305,NA,2012-XX-XX,NA,005,NA,Female,Unknown or not reported,Not Hispanic or Latino,Strange Situation,108
10306,NA,2012-XX-XX,NA,011,NA,Male,White,Hispanic or Latino,Strange Situation,108
10307,NA,2012-XX-XX,NA,014,NA,Female,White,Hispanic or Latino,Strange Situation,108
10308,NA,2012-XX-XX,NA,017,NA,Male,White,Hispanic or Latino,Strange Situation,108
10309,NA,2012-XX-XX,NA,018,NA,Male,White,Hispanic or Latino,Strange Situation,108
10310,NA,2013-XX-XX,NA,019,NA,Male,White,Hispanic or Latino,Strange Situation,108
10311,NA,2013-XX-XX,NA,020,NA,Male,White,Hispanic or Latino,Strange Situation,108
10312,NA,2013-XX-XX,NA,023,NA,Female,White,Hispanic or Latino,Strange Situation,108
10313,NA,2013-03-12,SHARED,024,2012-03-05,Female,White,Hispanic or Latino,Strange Situation,108
10314,NA,2013-XX-XX,NA,025,NA,Male,White,Not Hispanic or Latino,Strange Situation,108
10315,NA,2013-XX-XX,NA,026,NA,Male,White,Hispanic or Latino,Strange Situation,108
10316,NA,2013-XX-XX,NA,027,NA,Male,White,Hispanic or Latino,Strange Situation,108
10317,NA,2013-XX-XX,NA,028,NA,Female,White,Hispanic or Latino,Strange Situation,108
10318,NA,2013-XX-XX,NA,029,NA,Female,White,Hispanic or Latino,Strange Situation,108
10319,NA,2013-XX-XX,NA,030,NA,Female,White,Hispanic or Latino,Strange Situation,108
10320,NA,2013-XX-XX,NA,031,NA,Female,White,Hispanic or Latino,Strange Situation,108
10321,NA,2013-XX-XX,NA,033,NA,Female,White,Hispanic or Latino,Strange Situation,108
10322,NA,2013-XX-XX,NA,036,NA,Male,White,Not Hispanic or Latino,Strange Situation,108
10323,NA,2013-XX-XX,NA,038,NA,Male,White,Hispanic or Latino,Strange Situation,108
10324,NA,2013-XX-XX,NA,042,NA,Female,Black or African American,Not Hispanic or Latino,Strange Situation,108
10325,NA,2013-XX-XX,NA,049,NA,Male,White,Hispanic or Latino,Strange Situation,108
10326,NA,2013-XX-XX,NA,052,NA,Female,White,Hispanic or Latino,Strange Situation,108
10327,NA,2013-09-20,SHARED,058,2012-09-30,Male,White,Hispanic or Latino,Strange Situation,108
10328,NA,2013-10-07,SHARED,065,2012-10-05,Female,White,Hispanic or Latino,Strange Situation,108
10329,NA,2013-11-13,SHARED,070,2012-11-12,Female,White,Hispanic or Latino,Strange Situation,108
10330,NA,2014-01-06,SHARED,073,2012-12-03,Male,White,Hispanic or Latino,Strange Situation,108
10830,Attachment Codes,materials,NA,000,NA,NA,NA,NA,Strange Situation,108
