session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_pregnancy term,participant_disability,participant_language,pilot_name,exclusion_reason,condition1_name,condition1_description,condition2_name,condition2_description,condition3_name,condition3_description,task1_name,task1_description,task2_name,task2_description,context_setting,context_language,context_country,context_state,vol_id
8580,NA,2015-06-02,EXCERPTS,01,2014-02-25,Male,White,Not Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,SOM,"toys:mini cooper, aligator xylophone, red apple, sax, rattle ball, dog",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8583,NA,2015-06-04,EXCERPTS,02,2014-02-09,Male,White,Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,SOM,"toys:mini cooper, aligator xylophone, red apple, sax, rattle ball, dog",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8584,NA,2015-06-04,EXCERPTS,03,2014-03-21,Female,White,Not Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,SOM,"toys:mini cooper, aligator xylophone, red apple, sax, rattle ball, dog",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8588,NA,2015-06-08,EXCERPTS,04,2014-03-16,Female,White,Not Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,SOM,"toys:mini cooper, aligator xylophone, red apple, sax, rattle ball, dog",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8593,NA,2015-06-09,EXCERPTS,05,2014-02-27,Female,White,Not Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,Loco1,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, dog",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8616,NA,2015-06-11,SHARED,06,2013-11-26,Male,Unknown or not reported,Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,Loco1,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, dog",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8634,NA,2015-06-12,EXCERPTS,07,2014-02-24,Male,White,Not Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,Loco2,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8757,NA,2015-06-19,SHARED,08,2014-02-11,Female,White,Not Hispanic or Latino,Full term,typical,Russian,Piloting set up,Pilot,Loco2,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8815,NA,2015-06-20,EXCERPTS,09,2014-02-13,Female,White,Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,Loco2,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8816,NA,2015-06-20,EXCERPTS,10,2013-11-26,Female,More than one,Not Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,Loco2,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8822,NA,2015-06-24,EXCERPTS,11,2013-12-03,Female,White,Not Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,Loco2+EL,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper, elevations",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8823,NA,2015-06-25,EXCERPTS,12,2013-12-23,Female,Black or African American,Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,Loco2+EL,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper, elevations",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8839,NA,2015-06-29,EXCERPTS,13,2014-03-11,Male,More than one,Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,Loco2,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8918,NA,2015-07-07,EXCERPTS,14,2014-01-18,Male,White,Not Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,Loco2,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8921,NA,2015-07-08,EXCERPTS,15,2014-05-03,Female,White,Not Hispanic or Latino,Full term,typical,"English, Sign",Piloting set up,Pilot,Loco2,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8988,NA,2015-07-31,EXCERPTS,17,2014-01-10,Female,White,Not Hispanic or Latino,Full term,typical,"English, Spanish",Piloting set up,Pilot,Loco2,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
8989,NA,2015-07-22,SHARED,16,2014-03-31,Female,White,Not Hispanic or Latino,Full term,typical,"English, Farsi",Piloting set up,Pilot,Loco2,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
9005,NA,2015-08-14,EXCERPTS,18,2014-05-04,Male,White,Not Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,Loco2,"toys:truck, stroller + baby, bucket with balls (5), broom, barney car, rattle ball, popper",NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
9152,NA,2015-09-08,EXCERPTS,19,2014-02-21,Male,White,Not Hispanic or Latino,Full term,typical,English,Piloting set up,Pilot,Other,piloting snowsuit,NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
9205,NA,2015-XX-XX,NA,20,NA,Female,White,Not Hispanic or Latino,Full term,typical,English,Piloting age,Out of age range,Empty,no toys,NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
9582,NA,2015-10-12,EXCERPTS,21,2014-06-29,Male,White,Not Hispanic or Latino,Full term,typical,"English, Portuguese",Not pilot,Included,Empty,no toys,NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
9595,NA,2015-10-14,EXCERPTS,22,2014-07-08,Female,More than one,Hispanic or Latino,Full term,typical,"English, Spanish",Not pilot,Included,Empty,no toys,NA,NA,NA,NA,gait,standard gait,free play,20 min of free play,Lab,English,US,NY,140
