session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,exclusion_reason,task_name,vol_id
8601,NA,2014-04-21,NA,0991,2009-01-21,Male,White,Not Hispanic or Latino,NA,mofo_tuning_hidens_child,144
8602,NA,2014-03-31,NA,0999,2006-03-10,Female,NA,NA,NA,mofo_tuning_hidens_child,144
8603,NA,2013-12-18,NA,0997,2006-06-29,Female,NA,NA,NA,mofo_tuning_hidens_child,144
8604,NA,2014-12-06,NA,0996,2007-03-12,Male,NA,NA,NA,mofo_tuning_hidens_child,144
8605,NA,2013-11-18,NA,0995,2007-05-09,Female,NA,NA,NA,mofo_tuning_hidens_child,144
8606,NA,2014-05-07,NA,0994,2008-04-19,Female,NA,NA,NA,mofo_tuning_hidens_child,144
8607,NA,2014-09-13,NA,0993,2008-08-09,Male,NA,NA,NA,mofo_tuning_hidens_child,144
8608,NA,2014-11-12,NA,0992,2008-12-22,Male,NA,NA,NA,mofo_tuning_hidens_child,144
8609,NA,2014-03-21,NA,0990,2009-11-26,Male,NA,NA,NA,mofo_tuning_hidens_child,144
8611,NA,2015-05-21,NA,1002,2009-12-24,Male,NA,NA,NA,mofo_tuning_hidens_child,144
8612,NA,2015-06-05,NA,1006,2006-06-09,Male,NA,NA,NA,mofo_tuning_hidens_child,144
8613,NA,2015-06-05,NA,1007,2008-06-30,Male,NA,NA,NA,mofo_tuning_hidens_child,144
8981,NA,2015-06-17,NA,1010,2008-04-24,Male,NA,NA,NA,mofo_tuning_hidens_child,144
8982,NA,2015-07-01,NA,1008,2007-12-10,Female,NA,NA,NA,mofo_tuning_hidens_child,144
10036,NA,2015-08-10,NA,1004,2010-02-25,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10037,NA,2015-08-10,NA,1017,2007-12-15,Female,NA,NA,NA,mofo_tuning_hidens_child,144
10038,NA,2015-08-12,NA,1016,2009-12-20,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10039,NA,2015-09-10,NA,1022,2011-04-19,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10040,NA,2015-09-15,NA,1020,2007-06-18,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10041,NA,2015-09-16,NA,1021,2009-10-05,Female,NA,NA,NA,mofo_tuning_hidens_child,144
10042,NA,2015-09-29,NA,1024,2010-05-04,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10043,NA,2015-10-08,NA,1025,2011-06-22,Female,NA,NA,NA,mofo_tuning_hidens_child,144
10044,NA,2015-11-02,NA,1026,2008-05-03,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10045,NA,2015-10-27,NA,1027,2010-01-25,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10046,NA,2015-11-04,NA,1029,2010-04-30,Female,NA,NA,NA,mofo_tuning_hidens_child,144
10047,NA,2015-10-26,NA,1030,2007-05-27,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10048,NA,2015-11-14,NA,1031,2008-12-09,Female,NA,NA,NA,mofo_tuning_hidens_child,144
10049,NA,2015-11-14,NA,1032,2010-12-09,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10050,NA,2015-10-30,NA,1033,2010-04-09,Female,NA,NA,NA,mofo_tuning_hidens_child,144
10051,NA,2015-11-18,NA,1034,2008-01-19,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10052,NA,2015-11-18,NA,1035,2010-06-20,Female,NA,NA,NA,mofo_tuning_hidens_child,144
10053,NA,2015-11-03,NA,1036,2010-10-28,Female,NA,NA,NA,mofo_tuning_hidens_child,144
10054,NA,2015-11-16,NA,1037,2008-07-15,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10162,NA,2015-12-02,NA,1042,2009-07-23,Female,NA,NA,NA,mofo_tuning_hidens_child,144
10163,NA,2015-12-07,NA,1040,2008-03-17,Female,NA,NA,NA,mofo_tuning_hidens_child,144
10164,NA,2015-12-07,NA,1041,2010-03-23,Male,NA,NA,NA,mofo_tuning_hidens_child,144
10165,NA,2014-05-07,NA,0998,2006-04-16,Female,NA,NA,NA,mofo_tuning_hidens_child,144
11443,NA,materials,NA,NA,NA,NA,NA,NA,NA,NA,144
21049,NA,2015-06-03,NA,1005,2010-08-30,Female,NA,NA,Experimenter Error,mofo_tuning_hidens_child,144
21050,NA,2015-06-18,NA,1011,2011-05-01,Female,NA,NA,Refusal to Wear EEG Net,mofo_tuning_hidens_child,144
21051,NA,2015-07-01,NA,1009,2010-09-07,Female,NA,NA,Channels over Threshold,mofo_tuning_hidens_child,144
21052,NA,2015-07-20,NA,1013,2011-06-21,Male,NA,NA,Channels over Threshold,mofo_tuning_hidens_child,144
21053,NA,2015-09-10,NA,1018,2011-08-24,Male,NA,NA,Too Few Blocks,mofo_tuning_hidens_child,144
21128,NA,2014-10-11,NA,0989,2009-12-25,Female,NA,NA,Equipment Failure,mofo_tuning_hidens_child,144
21129,NA,2014-10-11,NA,0988,2009-12-25,Female,NA,NA,Equipment Failure,mofo_tuning_hidens_child,144
21130,NA,2014-08-01,NA,0987,2007-05-04,Female,NA,NA,Channels over Threshold,mofo_tuning_hidens_child,144
21131,NA,2014-08-01,NA,0986,2009-08-07,Female,NA,NA,Poor Participant Vision (Strabismus),mofo_tuning_hidens_child,144
21132,NA,2014-03-27,NA,0985,2009-12-12,Male,NA,NA,Too Few Blocks,mofo_tuning_hidens_child,144
21133,NA,2014-03-22,NA,0984,2006-10-09,Female,NA,NA,Equipment Failure,mofo_tuning_hidens_child,144
21134,NA,2014-03-22,NA,0983,2007-01-29,Female,NA,NA,Equipment Failure,mofo_tuning_hidens_child,144
21135,NA,2013-11-09,NA,0982,2007-12-26,Female,NA,NA,Experimenter Error,mofo_tuning_hidens_child,144
21136,NA,2013-10-16,NA,0981,2007-08-09,Female,NA,NA,Refusal to Wear EEG Net,mofo_tuning_hidens_child,144
21137,NA,2013-10-16,NA,0980,2009-07-02,Male,NA,NA,Refusal to Wear EEG Net,mofo_tuning_hidens_child,144
