session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_gestational age,participant_disability,pilot_pilot,exclusion_reason,context_setting,context_country,context_state,vol_id
10070,NA,2012-01-17,EXCERPTS,01,2010-11-17,Female,White,Not Hispanic or Latino,40,typical,NA,Procedural/experimenter error,Lab,US,NY,192
10071,NA,2012-02-10,EXCERPTS,03,2011-05-10,Female,More than one,Not Hispanic or Latino,40,typical,NA,NA,Lab,US,NY,192
10073,NA,2012-07-12,EXCERPTS,17,2011-10-06,Male,White,Not Hispanic or Latino,39,typical,NA,NA,Lab,US,NY,192
10074,NA,2012-07-27,EXCERPTS,18,2011-10-20,Female,White,Not Hispanic or Latino,40,typical,NA,NA,Lab,US,NY,192
18727,NA,2012-XX-XX,NA,02,NA,Male,Unknown or not reported,Unknown or not reported,NA,typical,NA,Procedural/experimenter error,Lab,US,NY,192
18728,NA,2012-XX-XX,NA,04,NA,Male,White,Not Hispanic or Latino,40,typical,NA,Withdrew/fussy/tired,Lab,US,NY,192
18729,NA,2012-XX-XX,NA,05,NA,Female,White,Hispanic or Latino,39,typical,NA,Procedural/experimenter error,Lab,US,NY,192
18730,NA,2012-XX-XX,PRIVATE,06,NA,Male,Black or African American,Not Hispanic or Latino,38,typical,NA,Procedural/experimenter error,Lab,US,NY,192
18731,NA,2012-XX-XX,NA,07,NA,Male,Unknown or not reported,Unknown or not reported,NA,typical,NA,NA,Lab,US,NY,192
18732,NA,2012-03-16,EXCERPTS,08,2011-06-05,Female,Asian,Not Hispanic or Latino,38,typical,NA,Withdrew/fussy/tired,Lab,US,NY,192
18733,NA,2012-XX-XX,NA,09,NA,Female,White,Hispanic or Latino,41,typical,NA,Procedural/experimenter error,Lab,US,NY,192
18734,NA,2012-04-04,EXCERPTS,10,2011-07-04,Male,White,Not Hispanic or Latino,NA,typical,NA,Withdrew/fussy/tired,Lab,US,NY,192
18735,NA,2012-04-11,EXCERPTS,11,2011-06-28,Male,More than one,Not Hispanic or Latino,40,typical,NA,Withdrew/fussy/tired,Lab,US,NY,192
18736,NA,2012-XX-XX,NA,14,NA,Male,More than one,Not Hispanic or Latino,NA,typical,NA,Did not meet inclusion criteria,Lab,US,NY,192
18737,NA,2012-07-05,EXCERPTS,15,2011-12-12,Male,White,Not Hispanic or Latino,37.5,typical,NA,Procedural/experimenter error,Lab,US,NY,192
18738,NA,2012-07-10,EXCERPTS,16,2011-10-14,Male,White,Not Hispanic or Latino,41,typical,NA,NA,Lab,US,NY,192
18740,NA,2012-07-31,EXCERPTS,19,2011-10-25,Male,White,Not Hispanic or Latino,41,typical,NA,NA,Lab,US,NY,192
18741,NA,2012-08-08,EXCERPTS,20,2011-11-03,Male,White,Unknown or not reported,39,typical,NA,NA,Lab,US,NY,192
18742,NA,2012-08-16,EXCERPTS,21,2010-08-10,Female,White,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18743,NA,2012-XX-XX,NA,22,NA,Male,Asian,Not Hispanic or Latino,38,typical,NA,NA,Lab,US,NY,192
18744,NA,2012-08-28,EXCERPTS,23,2010-08-11,Female,White,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
