session_id,session_name,session_date,session_release,participant_ID,participant_info,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_language,pilot_name,pilot_description,exclusion_reason,condition_name,group_name,task1_name,task1_description,task2_name,task2_description,context_setting,context_language,context_country,context_state,vol_id
11089,1055,2016-03-30,EXCERPTS,1055,NA,2010-01-22,Female,Unknown or not reported,Unknown or not reported,English,NA,NA,NA,linear-radial coh [.2 .4 .6 .8],8282,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
11132,1059,2016-04-02,EXCERPTS,1059,NA,2010-09-28,Female,White,Not Hispanic or Latino,English,NA,NA,NA,linear-radial coh [.2 .4 .6 .8],8228,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
11133,1060,2016-04-02,EXCERPTS,1060,NA,2009-04-14,Female,White,Not Hispanic or Latino,English,NA,NA,NA,linear-radial coh [.2 .4 .6 .8],8228,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
11134,1048,2016-03-15,EXCERPTS,1048,NA,2011-04-21,Male,Unknown or not reported,Unknown or not reported,English,pilot,too young - 4yo,Not enough blocks,linear-radial coh [.2 .4 .6 .8],28,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
11135,1046,2016-03-14,EXCERPTS,1046,NA,2011-12-03,Male,Unknown or not reported,Unknown or not reported,English,pilot,too young - 4yo,Wrong Input Method,linear-radial coh [.2 .4 .6 .8],2828,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
11136,1054,2016-03-30,EXCERPTS,1054,NA,2011-11-08,Male,Unknown or not reported,Unknown or not reported,English,pilot,too young - 4yo,Not enough blocks,linear-radial coh [.2 .4 .6 .8],82,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
11508,1058,2016-04-29,EXCERPTS,1058,NA,2010-10-13,Male,More than one,Not Hispanic or Latino,English,NA,NA,NA,linear-radial coh [.2 .4 .6 .8],8822,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
11628,1063,2016-05-09,EXCERPTS,1063,NA,2009-12-22,Male,White,Not Hispanic or Latino,English,NA,NA,NA,linear-radial coh [.2 .4 .6 .8],2828,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
11752,1067,2016-05-24,EXCERPTS,1067,NA,2010-08-26,Male,White,Not Hispanic or Latino,English,NA,NA,NA,linear-radial coh [.15 .3 .45 .6],2828,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
11826,1062,2016-06-02,EXCERPTS,1062,NA,2008-01-16,Male,White,Not Hispanic or Latino,English,NA,NA,NA,linear-radial coh [.15 .3 .45 .6],8282,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
11827,1066,2016-06-02,EXCERPTS,1066,NA,2008-01-16,Male,White,Not Hispanic or Latino,English,NA,NA,NA,linear-radial coh [.15 .3 .45 .6],8822,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
12114,1043,2016-06-17,EXCERPTS,1043,NA,2009-01-21,Male,White,Not Hispanic or Latino,English,NA,NA,NA,linear-radial coh [.15 .3 .45 .6],8228,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
12554,1065,2016-06-29,EXCERPTS,1065,NA,2011-02-16,Female,White,Not Hispanic or Latino,English,NA,NA,NA,linear-radial coh [.15 .3 .45 .6],2882,8 deg/s,NA,2 deg/s,NA,Lab,English,US,PA,218
