session_id,session_name,session_date,session_release,group_name,vol_id
11459,National Child Study (NCS) Bgnd,materials,NA,Project-wide,232
11652,Coding Example,materials,NA,Project-wide,232
11661,Roster & Map,materials,NA,Project-wide,232
11870,Language & Gesture Webinar - Data Collection,2016-05-02,PRIVATE,Language & Gesture,232
11871,Locomotion & Physical Activity Webinar - Data Collection,2016-05-02,PRIVATE,Locomotion & Physical Activity,232
11872,Home Environment Webinar,2016-04-05,PRIVATE,Home Environment,232
11873,Gender Webinar,2016-04-05,PRIVATE,Gender,232
11885,Possible measures,materials,SHARED,Project-wide,232
11950,Object Exploration Webinar - Data Collection,2016-05-10,PRIVATE,Object Exploration,232
11958,Language & Gesture Webinar - Coding,2016-05-10,PRIVATE,Language & Gesture,232
11959,Locomotion & Physical Activity Webinar - Coding,2016-05-09,PRIVATE,Locomotion & Physical Activity,232
11960,Object Exploration Webinar - Coding,2016-05-18,PRIVATE,Object Exploration,232
12007,Emotion & Facial Affect Webinar,2016-04-21,PRIVATE,Emotion & Facial Affect,232
