session_id,session_name,session_date,session_release,participant1_ID,participant2_ID,participant3_ID,participant4_ID,participant5_ID,participant6_ID,participant7_ID,participant8_ID,group_name,task1_name,task2_name,task3_name,task4_name,vol_id
11763,"Oh, Behave!",2016-05-27,PUBLIC,Karen Adolph,NA,NA,NA,NA,NA,NA,NA,Presidential Address,NA,NA,NA,NA,239
11764,Building Best Practices in Infancy Research,2016-05-25,PUBLIC,Panel Members,Jessica Sommerville,Kiley Hamlin,Lisa Oakes,John Colombo,Michael Frank,Laura Namy,Lisa Freund & Marita Hopmann,Pre-Conf Workshop,NA,NA,NA,NA,239
11773,Invited Program Documents,materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239
11775,Databrary & Datavyu,2016-05-25,PUBLIC,Karen Adolph,Rick O. Gilmore,NA,NA,NA,NA,NA,NA,Pre-Conf Workshop,Introduction to Databrary,Policies for Sharing Identifiable Video,Managing Data with Databrary,Datavyu & Best Practices for Coding Video,239
11786,Birth of a Word,2016-05-26,PUBLIC,Deb Roy,NA,NA,NA,NA,NA,NA,NA,Plenary Speaker,Audio/Video Issue,NA,NA,NA,239
11790,Learning in Infancy: A Rational Response to Stability and Change,2016-05-28,PUBLIC,Dick Aslin,NA,NA,NA,NA,NA,NA,NA,Invited Speaker,NA,NA,NA,NA,239
11791,Nutrition & Early Child Development: The First 1000 Days,2016-05-26,PUBLIC,Maureen Black,NA,NA,NA,NA,NA,NA,NA,Invited Speaker,NA,NA,NA,NA,239
11792,Just Babies: The Origin of Good and Evil,2016-05-28,PUBLIC,Paul Bloom,NA,NA,NA,NA,NA,NA,NA,Invited Speaker,NA,NA,NA,NA,239
11793,Ontogeny of Social Visual Engagement in Infants and Toddlers with Autism Spectrum Disorder,2016-05-27,PUBLIC,Ami Klin,NA,NA,NA,NA,NA,NA,NA,Invited Speaker,Audio/Video Issue,NA,NA,NA,239
11794,Human Amygdala: PFC Circuit Development & the Role of Caregiving,2016-05-26,PUBLIC,Nim Tottenham,NA,NA,NA,NA,NA,NA,NA,Invited Speaker,NA,NA,NA,NA,239
11795,Comparative & Developmental Methods in Social Cognition,2016-05-27,PUBLIC,Laurie Santos,Felix Warneken,NA,NA,NA,NA,NA,NA,Views by Two,NA,NA,NA,NA,239
11796,Studying Autism with Technology – Sponsored  by Positive Science,2016-05-28,PUBLIC,Jim Rehg,Brian Scassellati,NA,NA,NA,NA,NA,NA,Views by Two,NA,NA,NA,NA,239
11797,Language Learning in  Multiple Language Contexts,2016-05-27,PUBLIC,Jesse Snedeker,Catherine Tamis-LeMonda,NA,NA,NA,NA,NA,NA,Views by Two,NA,NA,NA,NA,239
11798,Learning from Multiple Inputs by Humans and Robots,2016-05-27,PUBLIC,Pierre-Yves Oudeyer,Linda Smith,NA,NA,NA,NA,NA,NA,Views by Two,NA,NA,NA,NA,239
11799,"Carolyn Rovee-Collier: Her Legacy for Science, Practice, and Academic Leadership",2016-05-27,PUBLIC,Harlene Hayne,Andrew Meltzoff,Rachel Barr,Kimberly Boller,NA,NA,NA,NA,Dedicated Session,NA,NA,NA,NA,239
11800,In Honor of Gerald Turkewitz: His Scientific Legacy – Sponsored  by Johnson and Johnson Consumer Inc.,2016-05-28,PUBLIC,David J. Lewkowicz,Robert Lickliter,David S. Moore,Janet Werker,NA,NA,NA,NA,Dedicated Session,NA,NA,NA,NA,239
11801,Global Issues in Development,2016-05-27,PUBLIC,Cristine Legare,Sandra Waxman,NA,NA,NA,NA,NA,NA,Presidential Symposium,NA,NA,NA,NA,239
11802,Development of Attentional Control in Infancy: Insights from Eye-Movements,2016-05-26,PUBLIC,Shannon Ross-Sheehy,Sam Wass,Susan Rivera,NA,NA,NA,NA,NA,Invited Symposium,NA,NA,NA,NA,239
11803,Methods & Meanings: New Insights into Infant Emotional Processes,2016-05-28,PUBLIC,Koraly Perez-Edgar,Daniel Messinger,NA,NA,NA,NA,NA,NA,Invited Symposium,NA,NA,NA,NA,239
11805,Awards Ceremony,2016-05-28,PUBLIC,NA,NA,NA,NA,NA,NA,NA,NA,Awards Ceremony,NA,NA,NA,NA,239
