session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,exclusion_name,exclusion_reason,exclusion_description,vol_id
24687,2018-21,2018-XX-XX,PRIVATE,2018-21,NA,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24689,2018-22,2018-XX-XX,PRIVATE,2018-22,NA,Female,Black or African American,Not Hispanic or Latino,typical,English,NA,NA,NA,308
24690,2018-23,2018-01-29,EXCERPTS,2018-23,2014-03-30,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24691,2018-24,2018-01-29,EXCERPTS,2018-24,2012-10-05,Female,Black or African American,Not Hispanic or Latino,typical,English,inverted,NA,NA,308
24692,2018-25,2018-XX-XX,PRIVATE,2018-25,NA,Male,Black or African American,Not Hispanic or Latino,typical,English,NA,NA,NA,308
24693,2018-26,2018-XX-XX,PRIVATE,2018-26,NA,Male,Black or African American,Hispanic or Latino,typical,English,NA,NA,NA,308
24715,2018-29,2018-XX-XX,PRIVATE,2018-29,NA,Female,More than one,Not Hispanic or Latino,typical,English,NA,NA,NA,308
24716,2018-30,2018-01-31,EXCERPTS,2018-30,2012-12-23,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24717,2018-31,2018-01-31,SHARED,2018-31,2012-09-12,Female,Black or African American,Not Hispanic or Latino,typical,English,NA,NA,NA,308
24825,2018-32,2018-XX-XX,PRIVATE,2018-32,NA,Male,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24826,2018-33,2018-01-31,EXCERPTS,2018-33,2012-11-06,Male,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24827,2018-34,2018-XX-XX,PRIVATE,2018-34,NA,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24828,2018-35,2018-01-31,EXCERPTS,2018-35,2013-08-06,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24829,2018-36,2018-01-31,EXCERPTS,2018-36,2013-08-30,Female,Black or African American,Not Hispanic or Latino,typical,English,NA,NA,NA,308
24830,2018-37,2018-01-31,EXCERPTS,2018-37,2012-09-21,Female,Black or African American,Not Hispanic or Latino,typical,English,NA,NA,NA,308
24871,2018-38,2018-XX-XX,PRIVATE,2018-38,NA,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24872,2018-39,2018-02-07,EXCERPTS,2018-39,2012-11-24,Female,Black or African American,Unknown or not reported,typical,English,inverted,NA,NA,308
24873,2018-40,2018-02-07,SHARED,2018-40,2012-10-17,Male,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24874,2018-41,2018-02-07,SHARED,2018-41,2012-10-17,Female,Unknown or not reported,Hispanic or Latino,typical,English,NA,NA,NA,308
24875,2018-42,2018-02-07,EXCERPTS,2018-42,2013-07-07,Male,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24876,2018-43,2018-02-07,EXCERPTS,2018-43,2013-01-31,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24932,2018-44,2018-XX-XX,PRIVATE,2018-44,NA,Female,White,Unknown or not reported,typical,English,inverted,NA,NA,308
24933,2018-46,2018-02-10,EXCERPTS,2018-46,2012-10-15,Female,Unknown or not reported,Unknown or not reported,typical,English,NA,NA,NA,308
24934,2018-47,2018-02-10,SHARED,2018-47,2012-05-17,Female,Asian,Unknown or not reported,typical,English,NA,NA,NA,308
24947,2018-45,2018-02-10,EXCERPTS,2018-45,2013-10-31,Male,Unknown or not reported,Not Hispanic or Latino,typical,English,NA,NA,NA,308
24948,2018-48,2018-XX-XX,PRIVATE,2018-48,NA,Male,Unknown or not reported,Unknown or not reported,typical,English,ceiling,Did not meet inclusion criteria,was ceiling at pre-test,308
24950,2018-49,2018-XX-XX,PRIVATE,2018-49,NA,Female,Black or African American,Not Hispanic or Latino,typical,English,NA,NA,NA,308
24951,2018-50,2018-XX-XX,PRIVATE,2018-50,NA,Male,Black or African American,Not Hispanic or Latino,typical,English,ceiling,Did not meet inclusion criteria,was ceiling at pre-test,308
24952,2018-51,2018-02-12,EXCERPTS,2018-51,2013-08-31,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24953,2018-52,2018-02-12,EXCERPTS,2018-52,2012-12-20,Male,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24954,2018-53,2018-02-12,EXCERPTS,2018-53,2013-02-04,Male,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24955,2018-54,2018-02-12,SHARED,2018-54,2013-08-12,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24977,2018-55,2018-02-14,EXCERPTS,2018-55,2013-01-05,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24978,2018-56,2018-02-14,EXCERPTS,2018-56,2013-11-13,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24979,2018-57,2018-02-14,EXCERPTS,2018-57,2012-12-29,Male,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24980,2018-58,2018-XX-XX,PRIVATE,2018-58,NA,Male,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
24981,2018-59,2018-02-14,EXCERPTS,2018-59,2013-07-15,Male,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
25325,2018-63,2018-XX-XX,PRIVATE,2018-63,NA,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
25326,2018-60,2018-XX-XX,PRIVATE,2018-60,NA,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
25327,2018-61,2018-02-24,SHARED,2018-61,2012-07-17,Female,Asian,Unknown or not reported,typical,English,NA,NA,NA,308
25328,2018-62,2018-02-24,EXCERPTS,2018-62,2013-02-03,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
25532,2018-64,2018-XX-XX,PRIVATE,2018-64,NA,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
