session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,exclusion_reason,condition_name,group_name,context_setting,context_language,context_country,context_state,vol_id
18290,NA,2017-06-19,EXCERPTS,2,1993-06-25,Female,Asian,Not Hispanic or Latino,typical,"Mandarin, English",NA,Right,Adults,Lab,English,US,NY,321
19056,NA,2017-07-11,EXCERPTS,16,1998-03-03,Female,Asian,Not Hispanic or Latino,typical,English,NA,Right,Adults,Lab,English,US,NY,321
19061,NA,2017-07-11,EXCERPTS,17,1996-01-05,Male,Asian,Not Hispanic or Latino,typical,"English, Tagalog",NA,Right,Adults,Lab,English,US,NY,321
19287,NA,2017-07-14,EXCERPTS,21,1996-05-25,Male,Asian,Not Hispanic or Latino,typical,English,NA,Right,Adults,Lab,English,US,NY,321
19290,NA,2017-XX-XX,PRIVATE,20,NA,Female,Asian,Not Hispanic or Latino,typical,English,Technical error,Right,Adults,Lab,English,US,NY,321
19386,NA,2017-07-18,EXCERPTS,22,1995-01-14,Female,White,Not Hispanic or Latino,typical,English,NA,Right,Adults,Lab,English,US,NY,321
19916,NA,2017-08-01,EXCERPTS,24,1996-09-17,Female,White,Not Hispanic or Latino,typical,English,NA,Right,Adults,Lab,English,US,NY,321
19917,NA,2017-08-18,EXCERPTS,34,2013-12-28,Male,Black or African American,Not Hispanic or Latino,typical,English,Technical error,Right,Preschoolers,Lab,English,US,NY,321
19918,NA,2017-08-01,EXCERPTS,25,1996-02-07,Male,Asian,Not Hispanic or Latino,typical,"English, Korean",Technical error,Left,Adults,Lab,English,US,NY,321
19922,NA,2017-08-04,EXCERPTS,26,1994-05-01,Female,White,Not Hispanic or Latino,typical,English,NA,Right,Adults,Lab,English,US,NY,321
19971,NA,2017-08-07,EXCERPTS,28,1994-10-24,Female,White,Not Hispanic or Latino,typical,English,NA,Right,Adults,Lab,English,US,NY,321
19977,NA,2017-08-08,EXCERPTS,29,2013-09-11,Female,White,Not Hispanic or Latino,typical,"English, Polish",NA,Right,Preschoolers,Lab,English,US,NY,321
19978,NA,2017-08-08,SHARED,30,2013-02-24,Male,White,Not Hispanic or Latino,typical,"English, Hebrew",NA,Right,Preschoolers,Lab,English,US,NY,321
20087,NA,2017-08-10,EXCERPTS,31,2013-04-30,Male,White,Not Hispanic or Latino,typical,English,NA,Right,Preschoolers,Lab,English,US,NY,321
20113,NA,2017-08-11,EXCERPTS,32,2013-10-15,Male,More than one,Hispanic or Latino,typical,"English, Spanish",NA,Right,Preschoolers,Lab,English,US,NY,321
20114,NA,2017-08-11,EXCERPTS,33,1996-01-27,Female,White,Not Hispanic or Latino,typical,English,Technical error,Right,Adults,Lab,English,US,NY,321
20228,NA,2017-08-04,EXCERPTS,27,1994-05-01,Female,White,Not Hispanic or Latino,typical,English,NA,Right,Adults,Lab,English,US,NY,321
20251,NA,2017-08-21,EXCERPTS,35,2013-06-04,Male,NA,NA,typical,"English, Greek",Technical error,Right,Preschoolers,Lab,English,US,NY,321
20253,NA,2017-08-22,EXCERPTS,36,2013-03-11,Male,White,Not Hispanic or Latino,typical,"English, French",Technical error,Right,Preschoolers,Lab,English,US,NY,321
20255,NA,2017-08-22,EXCERPTS,37,2013-05-06,Female,White,Not Hispanic or Latino,typical,English,NA,Right,Preschoolers,Lab,English,US,NY,321
