session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_language,group_name,context_setting,context_language,context_country,context_state,vol_id
16848,NA,NA,EXCERPTS,01,2014-05-19,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16849,NA,NA,EXCERPTS,02,2014-05-29,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16857,NA,NA,EXCERPTS,03,2014-06-22,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16858,NA,NA,EXCERPTS,04,2014-06-26,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16860,NA,NA,EXCERPTS,17,2014-09-09,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16861,NA,NA,EXCERPTS,18,2014-09-04,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16862,NA,NA,SHARED,19,2014-09-13,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16863,NA,NA,EXCERPTS,20,2014-09-22,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16864,NA,NA,SHARED,21,2014-10-02,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16865,NA,NA,EXCERPTS,27,2014-11-03,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16866,NA,NA,EXCERPTS,29,2014-11-07,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16867,NA,NA,EXCERPTS,31,2014-11-20,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16868,NA,NA,EXCERPTS,38,2014-12-06,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16869,NA,NA,EXCERPTS,39,2014-12-16,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16870,NA,NA,SHARED,45,2015-01-29,Male,White,Hispanic or Latino,English,07 months,Home,English,US,NY,338
16872,NA,NA,EXCERPTS,06,2014-07-03,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16873,NA,NA,EXCERPTS,07,2014-06-30,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16874,NA,NA,EXCERPTS,08,2014-07-02,Female,More than one,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16875,NA,NA,EXCERPTS,09,2014-07-09,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16876,NA,NA,SHARED,10,2014-07-11,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16877,NA,NA,EXCERPTS,11,2014-07-22,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16878,NA,NA,EXCERPTS,12,2014-07-31,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16879,NA,NA,EXCERPTS,13,2014-08-03,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16880,NA,NA,EXCERPTS,14,2014-08-09,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16882,NA,NA,EXCERPTS,15,2014-08-14,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16883,NA,NA,EXCERPTS,16,2014-08-28,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16884,NA,NA,EXCERPTS,22,2014-10-07,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16885,NA,NA,EXCERPTS,23,2014-10-04,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16886,NA,NA,EXCERPTS,25,2014-10-22,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16889,NA,NA,SHARED,46,2015-01-29,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16890,NA,NA,EXCERPTS,44,2015-01-31,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16893,NA,NA,SHARED,43,2015-01-06,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16895,NA,NA,EXCERPTS,26,2014-10-30,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16896,NA,NA,EXCERPTS,28,2014-11-02,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16897,NA,NA,EXCERPTS,30,2014-11-13,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16916,NA,NA,SHARED,32,2014-11-20,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16917,NA,NA,EXCERPTS,33,2014-11-24,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16945,NA,NA,EXCERPTS,34,2014-11-23,Male,More than one,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16946,NA,NA,EXCERPTS,35,2014-12-15,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16947,NA,NA,EXCERPTS,42,2014-12-26,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16950,NA,NA,EXCERPTS,41,2014-12-26,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16952,NA,NA,EXCERPTS,40,2014-12-18,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16953,NA,NA,EXCERPTS,37,2014-12-08,Male,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
16954,NA,NA,EXCERPTS,36,2014-12-07,Female,White,Not Hispanic or Latino,English,07 months,Home,English,US,NY,338
20137,NA,NA,NA,All_Audio,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,338
