session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,group_name,context_setting,context_language,context_country,context_state,vol_id
18675,NA,2011-03-04,EXCERPTS,5,1989-06-10,Male,Asian,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18676,NA,2011-03-04,EXCERPTS,6,1989-02-04,Female,Asian,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18677,NA,2011-03-04,EXCERPTS,7,1989-07-27,Male,More than one,Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18678,NA,2011-03-04,EXCERPTS,8,1991-04-13,Female,White,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18679,NA,2011-03-10,EXCERPTS,9,1991-01-25,Female,Asian,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18680,NA,2011-03-10,EXCERPTS,10,1988-04-12,Male,White,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18681,NA,2011-03-10,EXCERPTS,11,1989-01-09,Male,Unknown or not reported,Unknown or not reported,Dominant Hand - Right,Lab,English,US,NY,443
18682,NA,2011-XX-XX,NA,12,NA,Female,Unknown or not reported,Unknown or not reported,Dominant Hand - Right,Lab,English,US,NY,443
18683,NA,2011-03-10,EXCERPTS,13,1989-02-08,Female,Unknown or not reported,Unknown or not reported,Dominant Hand - Right,Lab,English,US,NY,443
18684,NA,2011-03-11,EXCERPTS,14,1991-04-23,Male,Asian,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18685,NA,2011-03-11,EXCERPTS,15,1988-12-16,Male,More than one,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18686,NA,2011-03-24,EXCERPTS,16,1988-10-28,Male,White,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18687,NA,2011-03-25,EXCERPTS,17,NA,Male,White,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18688,NA,2011-03-25,EXCERPTS,18,1991-08-25,Female,Asian,Not Hispanic or Latino,Dominant Hand - Both,Lab,English,US,NY,443
18689,NA,2011-XX-XX,PRIVATE,19,NA,Male,White,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18690,NA,2011-03-25,EXCERPTS,20,1989-01-01,Male,Asian,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18691,NA,2011-03-25,EXCERPTS,21,1990-09-28,Female,Asian,Not Hispanic or Latino,Dominant Hand - Both,Lab,English,US,NY,443
18692,NA,2011-03-25,EXCERPTS,22,1985-12-16,Male,White,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18693,NA,2011-03-26,EXCERPTS,23,1989-04-02,Male,White,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
18694,NA,2011-03-26,EXCERPTS,24,1989-06-15,Female,Asian,Not Hispanic or Latino,Dominant Hand - Right,Lab,English,US,NY,443
