session_id,session_name,session_date,session_release,participant_ID,participant_gender,participant_language,condition_name,vol_id
21794,NA,NA,SHARED,4620,Male,100% English,Monolingual 6-9mo,445
21795,NA,NA,SHARED,2106,Female,"99% English, 1% German",Monolingual 12-15mo,445
21796,NA,NA,SHARED,1399,Male,100% English,Monolingual 9-12mo,445
21797,NA,NA,SHARED,2928,Male,"73% English, 27% Chinese",Other 9-12mo,445
21798,NA,NA,PRIVATE,1422,Male,"80% English, 20% French",Other 12-15mo,445
21799,NA,NA,SHARED,3004,Male,"94% English, 6% French",Monolingual 12-15mo,445
21801,NA,NA,SHARED,4790,Female,100% English,Monolingual 12-15mo,445
21802,NA,NA,SHARED,4718,Male,"96% English, 4% French",Monolingual 9-12mo,445
21803,NA,NA,SHARED,3645,Female,100% English,Monolingual 12-15mo,445
21804,NA,NA,SHARED,3886,Male,"95% English, 5% French",Monolingual 9-12mo,445
21805,NA,NA,SHARED,2739,Female,100% English,Monolingual 12-15mo,445
21806,NA,NA,SHARED,2531,Male,"96% CND English, 2% French, 1% UK English, 1% Scottish English",Monolingual 3-6mo,445
21807,NA,NA,SHARED,2120,Male,"76% English, 24% French",Other 9-12mo,445
21808,NA,NA,SHARED,4526,Male,"99% English, 1% French",Monolingual 12-15mo,445
21809,NA,NA,SHARED,2966,Female,100% English,Monolingual 12-15mo,445
21810,NA,NA,SHARED,4192,Female,"92% CND English, 8% Newfoundland English",Monolingual 12-15mo,445
21811,NA,NA,SHARED,4165,Male,"98% English, 2% Ukrainian",Monolingual 12-15mo,445
21812,NA,NA,SHARED,1937,Female,"98% English, 2% French",Monolingual 9-12mo,445
21813,NA,NA,SHARED,1896,Female,100% English,Monolingual 9-12mo,445
21814,NA,NA,PRIVATE,3780,Female,"92% CND English, 7% Nigerian English, 1% Igbo",Monolingual 9-12mo,445
21815,NA,NA,SHARED,3137,Female,100% English,Monolingual 12-15mo,445
21816,NA,NA,SHARED,1838,Male,100% English,Monolingual 12-15mo,445
21817,NA,NA,SHARED,1164,Female,"90% English, 5% French, 5% Spanish",Monolingual 12-15mo,445
21818,NA,NA,SHARED,1817,Male,"91% English, 5% Spanish, 4% French",Monolingual 9-12mo,445
21819,NA,NA,SHARED,2668,Female,"76% English, 24% Polish",Other 12-15mo,445
21820,NA,NA,PRIVATE,3667,Female,"89% English, 11% Cebuano",Other 12-15mo,445
21821,NA,NA,SHARED,4275,Female,"53% English, 47% Punjabi",Bilingual 12-15mo,445
21822,NA,NA,SHARED,1363,Male,"96% English, 4% Tagalog",Monolingual 6-9mo,445
21823,NA,NA,PRIVATE,4042,Male,"98% English, 2% Korean",Monolingual 6-9mo,445
21824,NA,NA,SHARED,4175,Female,100% English,Monolingual 6-9mo,445
21825,NA,NA,SHARED,4048,Male,"98% English, 2% Tagalog",Monolingual 9-12mo,445
