session_id,session_name,session_date,session_release,participant_ID,participant_info,participant_description,vol_id
30362,NA,NA,PUBLIC,1,Elizabeth Bonawitz & Alison Gopnik,Opening remarks,736
30363,NA,NA,PUBLIC,2,Celeste Kidd,The role of information & learning on exploration,736
30364,NA,NA,PUBLIC,3,Elizabeth Bonawitz,"Exploration & exploitation in the preschool years: Children's play is influenced by expectation of rewards and information, ""empowerment"" & fostering curious mindsets",736
30365,NA,NA,PUBLIC,4,Rista Plate,How social information influences exploration and exploitation: Implications for learning,736
30366,NA,NA,PUBLIC,5,"Celeste Kidd, Elizabeth Bonawitz, & Rista Plate",Session 1 panel,736
30367,NA,NA,PUBLIC,6,Emilie Snell-Rood,Exploration in development: Common principles from gene expression to neurons,736
30368,NA,NA,PUBLIC,7,Willem Frankenhuis,Balancing sampling and specialization: Adaptationist models of incremental development,736
30372,NA,NA,PUBLIC,8,Rista Plate & Willem Frankenhuis,Session 2 panel,736
30373,NA,NA,PUBLIC,9,Poster presenters,Poster teaser talks,736
30377,NA,NA,PUBLIC,10,Cate Hartley,The value of variability: Dynamic changes in reinforcement learning from childhood to adulthood,736
30380,NA,NA,PUBLIC,11,Robert Wilson,​The role of information and randomization in exploration and exploitation,736
30385,NA,NA,PUBLIC,12,Becket Ebitz,A biophysics of exploratory decision-making,736
30386,NA,NA,PUBLIC,13,"Cate Hartley, Robert Wilson, & Becket Ebitz",Session 3 panel,736
30387,NA,NA,PUBLIC,14,Tom Griffiths,Exploring on the inside: Rational models of the uses of cognitive resources,736
30388,NA,NA,PUBLIC,15,Marcelo Mattar,Prioritized exploration of mental simulations​,736
30389,NA,NA,PUBLIC,16,Alison Gopnik,Childhood as a solution to explore-exploit tensions: Changes in exploration and hypothesis search across life history,736
30390,NA,NA,PUBLIC,17,"Tom Griffiths, Marcelo Mattar, & Alison Gopnik",Session 4 panel,736
