session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,exclusion_reason,group_name,task1_name,task1_description,task2_name,task2_description,task3_name,task3_description,task4_name,task4_description,task5_name,task5_description,task6_name,task6_description,task7_name,task7_description,task8_name,task8_description,context_setting,context_language,context_country,context_state,vol_id
42437,NA,2014-12-01,EXCERPTS,832108,2013-05-02,Male,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,gait,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42438,NA,2014-XX-XX,PRIVATE,832203,NA,Female,More than one,Hispanic or Latino,typical,spanish,NA,13 mos,background,NA,background,NA,gait,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42439,NA,2014-12-22,EXCERPTS,832106,2013-05-10,Male,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,gait,NA,background,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42442,NA,2015-01-20,EXCERPTS,832095,2013-06-05,Male,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,gait,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42443,NA,2015-01-21,EXCERPTS,832086,2013-05-30,Female,NA,Hispanic or Latino,typical,English,Did not fall,19 mos,free play,NA,background,NA,gait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42444,NA,2015-01-22,EXCERPTS,832083,2013-05-29,Male,White,Hispanic or Latino,typical,spanish,Did not fall,19 mos,background,NA,free play,NA,background,NA,gait,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42445,NA,2015-01-28,EXCERPTS,832215,2013-12-19,Female,NA,Hispanic or Latino,typical,spanish,NA,13 mos,background,NA,background,NA,gait,NA,feeding,NA,background,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42446,NA,2015-01-30,EXCERPTS,832099,2013-06-23,Female,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,gait,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42447,NA,2014-04-22,EXCERPTS,832001,2012-10-04,Female,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42449,NA,2014-05-10,SHARED,832005,2012-10-02,Male,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42450,NA,2014-06-10,EXCERPTS,832023,2012-11-14,Female,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42452,NA,2014-07-11,EXCERPTS,832025,2012-11-10,Female,NA,Hispanic or Latino,typical,spanish,Did not fall,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42453,NA,2014-07-10,EXCERPTS,832031,2012-11-28,Male,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,gait,NA,feeding,NA,background,NA,background,NA,free play,NA,Lab,Spanish,US,NY,1042
42454,NA,2014-07-31,EXCERPTS,832044,2012-12-17,Female,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42456,NA,2014-07-17,SHARED,832047,2012-12-04,Male,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42457,NA,2014-07-21,EXCERPTS,832048,2012-12-09,Female,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42458,NA,2014-07-24,SHARED,832050,2012-12-16,Female,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42459,NA,2014-07-22,EXCERPTS,832054,2012-12-06,Female,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42460,NA,2014-06-08,EXCERPTS,832056,2012-11-16,Male,White,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42461,NA,2014-03-15,EXCERPTS,832073,2013-01-30,Female,White,Hispanic or Latino,typical,spanish,Did not fall,13 mos,background,NA,free play,NA,background,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
