session_id,session_name,session_date,session_release,participant_ID,participant_info,participant_gender,task_name,task_description,vol_id
44828,CruisingGapS#02,NA,PUBLIC,2_2,Cruising experience: 75 days,Male,Study 2,Gap in the handrail,1116
44829,CruisingGapS#26,NA,PUBLIC,2_26,Cruising experience: 6 days,Male,Study 2,Gap in the handrail,1116
44830,CruisingGapS#24,NA,PUBLIC,2_24,Cruising experience: 22 days,Female,Study 2,Gap in the handrail,1116
44831,CruisingGapS#04,NA,PUBLIC,2_4,Cruising experience: 14 days,Female,Study 2,Gap in the handrail,1116
44832,CruisingGapS#39,NA,PUBLIC,2_39,Cruising experience: 58 days,Female,Study 2,Gap in the handrail,1116
44833,CruisingGapS#22,NA,PUBLIC,2_22,Cruising experience: 42 days,Male,Study 2,Gap in the handrail,1116
44834,CruisingGapS#25,NA,PUBLIC,2_25,Cruising experience: 72 days,Female,Study 2,Gap in the handrail,1116
44835,CruisingGapS#01,NA,PUBLIC,2_1,Cruising experience: 50 days,Female,Study 2,Gap in the handrail,1116
44836,CruisingGapS#23,NA,PUBLIC,2_23,Cruising experience: 85 days,Female,Study 2,Gap in the handrail,1116
44837,CruisingGapS#07,NA,PUBLIC,2_7,Cruising experience: 75 days,Female,Study 2,Gap in the handrail,1116
44838,CruisingGapS#38,NA,PUBLIC,2_38,Cruising experience: 107 days,Male,Study 2,Gap in the handrail,1116
44839,CruisingGapS#05,NA,PUBLIC,2_5,Cruising experience: 121 days,Male,Study 2,Gap in the handrail,1116
44840,CruisingGapS#21,NA,PUBLIC,2_21,Cruising experience: 35 days,Male,Study 2,Gap in the handrail,1116
44841,CruisingGapS#10,NA,PUBLIC,2_10,Cruising experience: 62 days,Male,Study 2,Gap in the handrail,1116
44842,CruisingGapS#09,NA,PUBLIC,2_9,Cruising experience: 39 days,Female,Study 2,Gap in the handrail,1116
44843,CruisingGapS#12,NA,PUBLIC,2_12,Cruising experience: 94 days,Female,Study 2,Gap in the handrail,1116
44844,CruisingGapS#36,NA,PUBLIC,2_36,Cruising experience: 42 days,Male,Study 2,Gap in the handrail,1116
44845,CruisingGapS#14,NA,PUBLIC,2_14,Cruising experience: 14 days,Male,Study 2,Gap in the handrail,1116
44846,CruisingGapS#30,NA,PUBLIC,2_30,Cruising experience: 54 days,Male,Study 2,Gap in the handrail,1116
44847,CruisingGapS#29,NA,PUBLIC,2_29,Cruising experience: 122 days,Female,Study 2,Gap in the handrail,1116
44848,CruisingGapS#37,NA,PUBLIC,2_37,Cruising experience: 39 days,Male,Study 2,Gap in the handrail,1116
44849,CruisingGapS#33,NA,PUBLIC,2_33,Cruising experience: 63 days,Male,Study 2,Gap in the handrail,1116
44925,CruisingContinuousS#12,NA,PUBLIC,1_12,Cruising experience: 29 days,Female,Study 1,Continuous handrail,1116
44927,CruisingContinuousS#14,NA,PUBLIC,1_14,Cruising experience: 77 days,Female,Study 1,Continuous handrail,1116
44928,CruisingContinuousS#15,NA,PUBLIC,1_15,Cruising experience: 26 days,Female,Study 1,Continuous handrail,1116
44929,CruisingContinuousS#16,NA,PUBLIC,1_16,Cruising experience: 90 days,Female,Study 1,Continuous handrail,1116
44930,CruisingContinuousS#22,NA,PUBLIC,1_22,Cruising experience: 37 days,Female,Study 1,Continuous handrail,1116
44931,CruisingContinuousS#23,NA,PUBLIC,1_23,Cruising experience: 50 days,Female,Study 1,Continuous handrail,1116
44932,CruisingContinuousS#27,NA,PUBLIC,1_27,Cruising experience: 44 days,Male,Study 1,Continuous handrail,1116
44933,CruisingContinuousS#32,NA,PUBLIC,1_32,Cruising experience: 103 days,Female,Study 1,Continuous handrail,1116
44934,CruisingContinuousS#35,NA,PUBLIC,1_35,Cruising experience: 26 days,Female,Study 1,Continuous handrail,1116
44935,CruisingContinuousS#36,NA,PUBLIC,1_36,Cruising experience: 49 days,Male,Study 1,Continuous handrail,1116
44936,CruisingContinuousS#37,NA,PUBLIC,1_37,Cruising experience: 62 days,Female,Study 1,Continuous handrail,1116
44937,CruisingContinuousS#40,NA,PUBLIC,1_40,Cruising experience: 46 days,Female,Study 1,Continuous handrail,1116
44938,CruisingContinuousS#43,NA,PUBLIC,1_43,Cruising experience: 13 days,Female,Study 1,Continuous handrail,1116
44939,CruisingContinuousS#45,NA,PUBLIC,1_45,Cruising experience: 41 days,Female,Study 1,Continuous handrail,1116
44940,CruisingContinuousS#46,NA,PUBLIC,1_46,Cruising experience: 65 days,Female,Study 1,Continuous handrail,1116
44941,CruisingContinuousS#48,NA,PUBLIC,1_48,Cruising experience: 61 days,Female,Study 1,Continuous handrail,1116
44942,CruisingContinuousS#49,NA,PUBLIC,1_49,Cruising experience: 48 days,Male,Study 1,Continuous handrail,1116
44943,CruisingContinuousS#52,NA,PUBLIC,1_52,Cruising experience: 65 days,Male,Study 1,Continuous handrail,1116
44944,CruisingContinuousS#53,NA,PUBLIC,1_53,Cruising experience: 36 days,Female,Study 1,Continuous handrail,1116
44945,CruisingContinuousS#54,NA,PUBLIC,1_54,Cruising experience: 64 days,Male,Study 1,Continuous handrail,1116
44946,CruisingContinuousS#01,NA,PUBLIC,1_1,Cruising experience: 24 days,Male,Study 1,Continuous handrail,1116
44947,CruisingContinuousS#06,NA,PUBLIC,1_6,Cruising experience: 56 days,Male,Study 1,Continuous handrail,1116
44948,CruisingContinuousS#07,NA,PUBLIC,1_7,Cruising experience: 37 days,Female,Study 1,Continuous handrail,1116
44949,CruisingContinuousS#08,NA,PUBLIC,1_8,Cruising experience: 45 days,Male,Study 1,Continuous handrail,1116
