session_id,session_name,session_date,session_release,participant_ID,participant_info,participant_gender,participant_race,participant_ethnicity,exclusion_name,vol_id
45441,1000,NA,PRIVATE,1000,328,Female,White,NA,NA,1131
45442,1001,NA,PRIVATE,1001,212,Male,White,NA,unable to calibrate,1131
45443,1002,NA,EXCERPTS,1002,180,Female,White,NA,poor tracking,1131
45444,1003,NA,EXCERPTS,1003,280,Female,NA,NA,poor tracking,1131
45445,1004,NA,EXCERPTS,1004,282,Male,White,NA,NA,1131
45446,1005,NA,PRIVATE,1005,370,Female,Black or African American,NA,parental interferences,1131
45447,1006,NA,EXCERPTS,1006,174,Male,Black or African American,Hispanic or Latino,not enough trials,1131
45448,1007,NA,EXCERPTS,1007,202,Female,White,Hispanic or Latino,fussy,1131
45449,1008,NA,PRIVATE,1008,329,Male,White,NA,NA,1131
45450,1009,NA,EXCERPTS,1009,290,Male,White,NA,NA,1131
45451,1010,NA,PRIVATE,1010,267,Male,White,NA,ineligible (same as 8015),1131
45452,1011,NA,EXCERPTS,1011,253,Female,Asian,NA,not enough trials,1131
45453,1012,NA,EXCERPTS,1012,260,Female,White,NA,NA,1131
45454,1013,NA,EXCERPTS,1013,259,Female,White,NA,not enough trials,1131
45455,1014,NA,EXCERPTS,1014,302,Female,NA,NA,poor tracking,1131
45456,1015,NA,EXCERPTS,1015,307,Female,More than one,Hispanic or Latino,NA,1131
45457,1016,NA,EXCERPTS,1016,245,Female,More than one,NA,NA,1131
45458,1017,NA,EXCERPTS,1017,128,Female,White,NA,poor tracking,1131
45459,1018,NA,PRIVATE,1018,277,Male,NA,NA,NA,1131
45460,1019,NA,EXCERPTS,1019,293,Male,Unknown or not reported,Hispanic or Latino,NA,1131
45461,1020,NA,EXCERPTS,1020,367,Female,White,Hispanic or Latino,not enough trials,1131
45462,1021,NA,EXCERPTS,1021,321,Female,NA,Hispanic or Latino,NA,1131
45463,1022,NA,EXCERPTS,1022,373,Male,White,NA,NA,1131
45464,1023,NA,EXCERPTS,1023,274,Female,White,NA,NA,1131
45465,1024,NA,EXCERPTS,1024,337,Female,Black or African American,NA,NA,1131
45466,1025,NA,EXCERPTS,1025,346,Female,White,NA,NA,1131
45467,1026,NA,EXCERPTS,1026,191,Male,More than one,Hispanic or Latino,NA,1131
45468,1028,NA,PRIVATE,1028,197,Female,White,NA,NA,1131
45469,1029,NA,EXCERPTS,1029,190,Female,More than one,Hispanic or Latino,NA,1131
45470,1030,NA,SHARED,1030,210,Male,White,Hispanic or Latino,NA,1131
45471,1031,NA,EXCERPTS,1031,192,Male,White,NA,fussy,1131
45472,1032,NA,EXCERPTS,1032,190,Female,White,NA,NA,1131
45473,1033,NA,EXCERPTS,1033,198,Male,White,Hispanic or Latino,NA,1131
45474,1034,NA,EXCERPTS,1034,126,Female,White,NA,poor tracking,1131
45475,1035,NA,EXCERPTS,1035,191,Female,White,NA,unable to calibrate,1131
45476,1036,NA,EXCERPTS,1036,185,Male,White,Hispanic or Latino,NA,1131
45477,1037,NA,PRIVATE,1037,251,Female,More than one,NA,NA,1131
45478,1038,NA,EXCERPTS,1038,181,Female,White,Hispanic or Latino,ineligible (chronic health problems),1131
45479,1039,NA,EXCERPTS,1039,255,Male,White,NA,NA,1131
45480,1040,NA,EXCERPTS,1040,250,Male,White,Hispanic or Latino,not enough trials,1131
45481,1041,NA,EXCERPTS,1041,238,Male,Asian,NA,NA,1131
45482,1042,NA,EXCERPTS,1042,312,Male,White,Hispanic or Latino,NA,1131
45483,1043,NA,EXCERPTS,1043,174,Male,White,NA,poor tracking,1131
45484,1044,NA,EXCERPTS,1044,186,Female,More than one,NA,not enough trials,1131
45485,1045,NA,EXCERPTS,1045,314,Male,More than one,Hispanic or Latino,NA,1131
45486,1046,NA,EXCERPTS,1046,195,Female,White,NA,NA,1131
45487,1047,NA,EXCERPTS,1047,183,Male,White,NA,poor tracking,1131
45488,1048,NA,EXCERPTS,1048,253,Male,White,NA,NA,1131
