session_id,session_name,session_date,session_release,participant_ID,participant_info,participant_birthdate,group_name,vol_id
50744,NA,NA,NA,P01,Non-Fluent Student,NA,1995,1249
50745,NA,NA,NA,P02,Non-Fluent Student,NA,1994,1249
50942,NA,NA,NA,P03,Non-Fluent Student,NA,1996,1249
50943,NA,NA,NA,P04,Non-Fluent Student,NA,1996,1249
50944,NA,NA,NA,P05,Non-Fluent Student,NA,1995,1249
50945,NA,NA,NA,P06,Non-Fluent Student,NA,1994,1249
50946,NA,NA,NA,P07,Non-Fluent Student,NA,1991,1249
50947,NA,NA,NA,P08,Non-Fluent Student,NA,1994,1249
50948,NA,NA,NA,P09,Non-Fluent Student,NA,1987,1249
50949,NA,NA,NA,P10,Non-Fluent Student,NA,1966,1249
50950,NA,NA,NA,P11,Non-Fluent Student,NA,1974,1249
51012,NA,NA,NA,F13,Fluent Signer,NA,1992,1249
51016,NA,NA,NA,F14,Fluent Signer,NA,1992,1249
51017,NA,NA,NA,F15,Fluent Signer,NA,1993,1249
51018,NA,NA,NA,F16,Fluent Signer,NA,1986,1249
51019,NA,NA,NA,F17,Fluent Signer,NA,1995,1249
51020,NA,NA,NA,F18,Fluent Signer,NA,1993,1249
51023,NA,NA,NA,F19,Fluent Signer,NA,1991,1249
51024,NA,NA,NA,F20,Fluent Signer,NA,1995,1249
51025,NA,NA,NA,F21,Fluent Signer,NA,1992,1249
51026,NA,NA,NA,F22,Fluent Signer,NA,1994,1249
51028,NA,NA,NA,F23,Fluent Signer,NA,1993,1249
51029,NA,NA,NA,F24,Fluent Signer,NA,1989,1249
51033,NA,NA,NA,F25,Fluent Signer,NA,1992,1249
51034,NA,NA,NA,F26,Fluent Signer,NA,1983,1249
51036,NA,NA,NA,F27,Fluent Signer,NA,1985,1249
51038,NA,NA,NA,F28,Fluent Signer,NA,1986,1249
51039,NA,NA,NA,F29,Fluent Signer,NA,1991,1249
51040,NA,NA,NA,F31,Fluent Signer,NA,1983,1249
51041,NA,NA,NA,F32,Fluent Signer,NA,1995,1249
51042,NA,NA,NA,F33,Fluent Signer,NA,1994,1249
51043,NA,NA,NA,F34,Fluent Signer,NA,1992,1249
51045,NA,NA,NA,F35,Fluent Signer,NA,1994,1249
51046,NA,NA,NA,F36,Fluent Signer,NA,1993,1249
51047,NA,NA,NA,F37,Fluent Signer,NA,1964,1249
51048,NA,NA,NA,P47,Non-Fluent Student,NA,1992,1249
51049,NA,NA,NA,P48,Non-Fluent Student,NA,1992,1249
51050,NA,NA,NA,P49,Non-Fluent Student,NA,1997,1249
51051,NA,NA,NA,P50,Non-Fluent Student,NA,1996,1249
51064,NA,NA,NA,P51,Non-Fluent Student,NA,1994,1249
51070,NA,NA,NA,P52,Non-Fluent Student,NA,1994,1249
51071,NA,NA,NA,P53,Non-Fluent Student,NA,1994,1249
51072,NA,NA,NA,P54,Non-Fluent Student,NA,1995,1249
51073,NA,NA,NA,P55,Non-Fluent Student,NA,1995,1249
51075,NA,NA,NA,P56,Non-Fluent Student,NA,NA,1249
58492,NA,materials,NA,NA,NA,NA,NA,1249
