session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,group_name,context_setting,context_language,context_country,context_state,vol_id
51294,Exemplars,materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273
51592,19 mos,2014-03-25,EXCERPTS,02,2012-09-05,Male,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51593,19 mos,2014-03-10,EXCERPTS,03,2012-08-22,Female,Unknown or not reported,Unknown or not reported,typical,English,Langone,Lab,English,US,NA,1273
51594,13 mos,2013-10-11,EXCERPTS,06,2012-08-22,Female,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51595,19 mos,2013-XX-XX,PRIVATE,10,NA,Female,More than one,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51596,19 mos,2013-10-21,EXCERPTS,11,2012-03-11,Male,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51597,19 mos,2013-10-24,EXCERPTS,12,2012-03-23,Male,Black or African American,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51598,19 mos,2013-10-25,SHARED,13,2012-03-17,Female,Black or African American,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51599,13 mos,2013-XX-XX,PRIVATE,18,NA,Male,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51600,13 mos,2013-12-16,SHARED,21,2012-10-23,Female,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51601,19 mos,2013-12-19,EXCERPTS,22,2012-05-22,Female,More than one,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51602,19 mos,2014-01-27,EXCERPTS,23,2012-06-30,Female,More than one,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51603,19 mos,2014-02-10,EXCERPTS,27,2012-07-15,Male,More than one,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51604,19 mos,2014-03-10,SHARED,32,2012-08-15,Male,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51605,19 mos,2014-05-07,EXCERPTS,36,2012-10-15,Female,More than one,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
