session_id,session_name,session_date,session_release,condition_name,context_setting,vol_id
53195,Round1_Day2,2019-XX-XX,PRIVATE,Physical,AH,1298
53205,Round1_Day2,2019-XX-XX,PRIVATE,Digital,AH,1298
53209,Round1_Day2,2019-XX-XX,PRIVATE,Non-spatial,AH,1298
53211,Round1_Day2,2019-XX-XX,PRIVATE,Physical,W,1298
53214,Round1_Day2,2019-XX-XX,PRIVATE,Digital,W,1298
53215,Round1_Day2,2019-XX-XX,PRIVATE,Non-spatial,W,1298
53222,Round1_Day3,2019-XX-XX,PRIVATE,Physical,AH,1298
53223,Round1_Day3,2019-XX-XX,PRIVATE,Digital,AH,1298
53224,Round1_Day3,2019-XX-XX,PRIVATE,Non-spatial,AH,1298
53225,Round1_Day3,2019-XX-XX,PRIVATE,Physical,W,1298
53226,Round1_Day3,2019-XX-XX,PRIVATE,Digital,W,1298
53227,Round1_Day3,2019-XX-XX,PRIVATE,Non-spatial,W,1298
53228,Round1_Day4,2019-XX-XX,PRIVATE,Physical,AH,1298
53229,Round1_Day4,2019-XX-XX,PRIVATE,Digital,AH,1298
53230,Round1_Day4,2019-XX-XX,PRIVATE,Non-spatial,AH,1298
53231,Round1_Day4,2019-XX-XX,PRIVATE,Physical,W,1298
53232,Round1_Day4,2019-XX-XX,PRIVATE,Digital,W,1298
53233,Round1_Day4,2019-XX-XX,PRIVATE,Non-spatial,W,1298
53234,Round1_Day5,2019-XX-XX,PRIVATE,Physical,AH,1298
53235,Round1_Day5,2019-XX-XX,PRIVATE,Digital,AH,1298
53236,Round1_Day5,2019-XX-XX,PRIVATE,Non-spatial,AH,1298
53237,Round1_Day5,2019-XX-XX,PRIVATE,Physical,W,1298
53238,Round1_Day5,2019-XX-XX,PRIVATE,Digital,W,1298
53239,Round1_Day5,2019-XX-XX,PRIVATE,Non-spatial,W,1298
53240,Round1_Day6,2019-XX-XX,PRIVATE,Physical,AH,1298
53241,Round1_Day6,2019-XX-XX,PRIVATE,Digital,AH,1298
53242,Round1_Day6,2019-XX-XX,PRIVATE,Non-spatial,AH,1298
53243,Round1_Day6,2019-XX-XX,PRIVATE,Physical,W,1298
53244,Round1_Day6,2019-XX-XX,PRIVATE,Digital,W,1298
53245,Round1_Day6,2019-XX-XX,PRIVATE,Non-spatial,W,1298
53246,Round1_Day7,2019-XX-XX,PRIVATE,Physical,AH,1298
53247,Round1_Day7,2019-XX-XX,PRIVATE,Digital,AH,1298
53248,Round1_Day7,2019-XX-XX,PRIVATE,Non-spatial,AH,1298
53249,Round1_Day7,2019-XX-XX,PRIVATE,Physical,W,1298
53250,Round1_Day7,2019-XX-XX,PRIVATE,Digital,W,1298
53251,Round1_Day7,2019-XX-XX,PRIVATE,Non-spatial,W,1298
53252,Round2_Day1,2020-XX-XX,PRIVATE,Physical 1,W,1298
53293,Round2_Day1,2020-XX-XX,NA,Physical 2,NA,1298
