session_id,session_name,session_date,session_release,participant_ID,vol_id
57251,NA,NA,NA,AL38_MB34,1412
57254,NA,NA,NA,BL46_MB42,1412
57255,NA,NA,NA,BR50_MB46,1412
57256,NA,NA,NA,BT30_MB26,1412
57257,NA,NA,NA,CC15_MB10,1412
57258,NA,NA,NA,CC20_MB16,1412
57279,NA,NA,NA,CN14_MB09,1412
57280,NA,NA,NA,DA07_MB04,1412
57281,NA,NA,NA,DA41_MB37,1412
57282,NA,NA,NA,DB16_MB11,1412
57283,NA,NA,NA,GM36_MB32,1412
57284,NA,NA,NA,HH09_MB05,1412
57285,NA,NA,NA,HH18_MB14,1412
57320,NA,materials,NA,NA,1412
57456,NA,NA,NA,HJ11_MB07,1412
57457,NA,NA,NA,HJ21_MB17,1412
57458,NA,NA,NA,HL44_MB40,1412
57459,NA,NA,NA,HN22_MB18,1412
57460,NA,NA,NA,HO29_MB25,1412
57461,NA,NA,NA,JR42_MB38,1412
57462,NA,NA,NA,KD52_MB48,1412
57463,NA,NA,NA,LC13_MB08,1412
57464,NA,NA,NA,MT48_MB44,1412
57465,NA,NA,NA,NL49_MB45,1412
57466,NA,NA,NA,PD51_MB47,1412
57467,NA,NA,NA,PQ23_MB19,1412
57468,NA,NA,NA,PR06_MB03,1412
57469,NA,NA,NA,RJ26_MB22,1412
57470,NA,NA,NA,RN27_MB23,1412
57471,NA,NA,NA,SE19_MB15,1412
57472,NA,NA,NA,SF28_MB24,1412
57473,NA,NA,NA,TA31_MB27,1412
57474,NA,NA,NA,VR47_MB43,1412
57475,NA,NA,NA,WO32_MB28,1412
57476,NA,NA,NA,WR10_MB06,1412
57477,NA,NA,NA,WR38_MB34,1412
57478,NA,NA,NA,NA,1412
