date,databrary_citations,datavyu_citations
2012-12-31,3,0
2013-12-31,8,1
2014-12-31,16,12
2015-12-31,41,35
2016-12-31,74,68
2017-12-01,125,112
2018-01-01,131,116
2018-02-01,132,118
2018-03-01,138,123
2018-04-01,147,130
2018-05-01,154,134
2018-06-01,159,136
2018-07-01,162,141
2018-08-01,169,145
2018-09-01,174,150
2018-10-01,183,156
2019-01-04,197,168
2019-02-01,215,176
2019-03-01,227,189
2019-04-05,223,189
2019-05-01,227,196
2019-06-03,235,206
2019-07-01,243,219
2019-08-05,253,222
2019-09-03,262,232
2019-09-09,263,232
2019-09-16,270,235
2019-09-24,271,235
2019-10-01,272,236
2019-10-08,275,239
2019-10-14,277,243
2019-10-23,278,247
2019-10-30,282,253
2019-11-04,290,260
2019-11-20,295,266
2019-11-25,295,266
2019-12-03,298,268
2019-12-09,301,271
2019-12-16,302,272
2020-01-06,314,278
2020-01-14,321,281
2020-01-22,318,261
2020-01-28,320,263
2020-01-30,321,264
