date,institutions,investigators,affiliates
2014-04-01T04:00:00Z,13,7,1
2014-05-01T04:00:00Z,13,9,1
2014-07-01T04:00:00Z,40,38,1
2014-08-01T04:00:00Z,41,48,1
2014-09-01T04:00:00Z,42,62,1
2014-10-01T04:00:00Z,46,85,1
2014-11-01T04:00:00Z,49,90,1
2014-12-01T05:00:00Z,51,96,1
2015-01-01T05:00:00Z,53,102,1
2015-02-01T05:00:00Z,56,115,1
2015-03-01T05:00:00Z,57,164,1
2015-04-01T04:00:00Z,60,177,1
2015-05-01T04:00:00Z,71,182,1
2015-06-01T04:00:00Z,76,199,1
2015-07-01T04:00:00Z,85,204,1
2015-08-01T04:00:00Z,91,216,1
2015-09-01T04:00:00Z,97,254,1
2015-10-01T04:00:00Z,113,283,1
2015-11-01T04:00:00Z,122,298,1
2015-12-01T05:00:00Z,133,310,1
2016-01-01T05:00:00Z,140,318,1
2016-02-01T05:00:00Z,150,343,1
2016-03-01T05:00:00Z,159,354,1
2016-04-01T04:00:00Z,170,377,1
2016-05-01T04:00:00Z,185,422,1
2016-06-01T04:00:00Z,194,437,1
2016-07-01T04:00:00Z,208,448,1
2016-08-01T04:00:00Z,215,453,1
2016-09-01T04:00:00Z,222,474,1
2016-10-01T04:00:00Z,227,497,1
2016-11-01T04:00:00Z,233,511,1
2016-12-01T05:00:00Z,238,521,1
2017-01-01T05:00:00Z,243,535,1
2017-02-01T05:00:00Z,254,550,1
2017-03-01T05:00:00Z,264,568,1
2017-04-01T04:00:00Z,273,584,1
2017-05-01T04:00:00Z,279,596,1
2017-06-01T04:00:00Z,285,616,1
2017-07-01T04:00:00Z,287,623,1
2017-08-01T04:00:00Z,292,648,1
2017-09-01T04:00:00Z,298,660,1
2017-10-01T04:00:00Z,308,666,1
2017-11-01T04:00:00Z,314,678,1
2017-12-01T05:00:00Z,320,684,1
2018-01-01T05:00:00Z,329,693,1
2018-02-01T05:00:00Z,336,696,1
2018-03-15T05:00:00Z,388,712,1
2018-04-11T05:00:00Z,394,725,1
2018-05-04T05:00:00Z,397,739,1
2018-06-04T05:00:00Z,404,761,1
2018-07-13T05:00:00Z,407,769,1
2018-08-03T05:00:00Z,406,772,1
2018-09-07T05:00:00Z,411,784,1
2018-10-05T05:00:00Z,416,802,1
2019-01-04T05:00:00Z,439,862,1
2019-02-01T05:00:00Z,453,885,1
2019-03-01T05:00:00Z,467,906,1
2019-03-20T07:54:46Z,469,913,1
2019-04-05T14:20:22Z,478,926,1
2019-04-10T13:09:36Z,479,929,1
2019-05-01T13:23:20Z,483,938,1
2019-05-10T13:07:05Z,491,952,1
2019-05-23T21:24:04Z,494,959,1
2019-06-12T11:17:00Z,496,971,403
2019-07-01T00:00:00Z,508,992,409
2019-07-19T14:24:00Z,511,1000,411
2019-07-30T13:35:13Z,514,1001,414
2019-08-05T18:53:57Z,516,1004,409
2019-08-09T16:54:52Z,522,1009,407
2019-08-19T12:47:08Z,528,1017,410
2019-08-26T13:06:10Z,530,1023,414
2019-09-03T12:14:08Z,534,1028,398
2019-09-09T12:46:38Z,534,1029,405
2019-09-16T16:08:58Z,536,1033,411
2019-09-24T13:45:36Z,538,1037,420
2019-10-01T15:55:51Z,540,1046,428
2019-10-08T12:47:56Z,540,1047,435
2019-10-14T18:02:11Z,541,1051,457
2019-10-23T16:19:48Z,541,1054,461
2019-10-30T13:27:40Z,543,1055,465
2019-11-04T17:31:00Z,543,1056,464
2019-11-20T21:36:27Z,544,1061,481
2019-11-25T14:00:14Z,545,1064,483
2019-12-03T13:22:55Z,546,1069,479
2019-12-09T13:34:20Z,549,1073,482
2019-12-16T16:57:31Z,550,1075,486
2020-01-06T14:37:21Z,552,1081,471
2020-01-14T19:16:32Z,553,1083,469
2020-01-22T23:17:20Z,556,1089,482
2020-01-28T09:19:14Z,556,1091,486
2020-01-30T13:38:04Z,557,1094,486
2020-02-03T18:43:21Z,556,1094,484
2020-02-10T18:11:43Z,557,1096,489
2020-02-18T16:00:01Z,558,1101,496
2020-02-24T15:02:02Z,559,1102,503
2020-03-02T18:08:13Z,558,1103,508
2020-03-19T12:51:12Z,563,1109,524
2020-03-23T13:13:49Z,563,1111,522
2020-03-30T15:01:08Z,563,1112,525
2020-04-14T13:05:32Z,563,1121,542
2020-04-27T13:56:17Z,564,1124,545
2020-05-04T15:19:27Z,566,1131,545
2020-05-11T14:57:37Z,565,1130,547
2020-05-18T14:00:54Z,566,1134,541
2020-05-27T14:01:25Z,567,1138,540
2020-06-08T15:13:05Z,569,1145,534
2020-06-15T13:15:46Z,570,1146,537
2020-06-23T14:13:08Z,574,1155,538
2020-06-29T13:04:24Z,575,1158,540
2020-07-20T14:24:27Z,576,1161,540
2020-07-27T17:44:50Z,580,1165,544
2020-08-03T12:51:42Z,582,1168,538
2020-08-10T16:35:38Z,583,1172,539
2020-08-18T12:44:22Z,583,1178,540
2020-08-25T18:20:26Z,586,1183,544
2020-08-31T15:29:55Z,588,1185,553
2020-09-08T16:21:08Z,588,1190,545
2020-09-14T14:25:56Z,588,1192,572
2020-09-21T16:56:36Z,588,1193,580
2020-09-28T14:08:06Z,596,1201,588
2020-10-05T15:05:08Z,597,1203,598
2020-10-15T16:05:50Z,600,1211,605
2020-10-19T16:36:09Z,600,1212,603
2020-10-27T13:42:10Z,600,1217,608
2020-11-03T15:43:07Z,604,1226,604
2020-11-09T21:52:20Z,605,1229,606
2020-11-16T13:53:51Z,611,1231,615
2020-11-23T17:49:37Z,614,1239,618
2020-12-01T17:48:05Z,616,1244,620
2020-12-07T21:40:53Z,616,1245,622
2020-12-14T18:13:40Z,616,1246,605
2020-12-21T16:38:58Z,620,1259,602
2021-01-06T17:01:55Z,621,1261,585
2021-01-11T14:33:20Z,622,1265,585
2021-01-19T15:49:54Z,623,1269,590
2021-01-25T15:33:11Z,625,1274,594
2021-02-01T16:12:07Z,626,1278,601
2021-02-08T16:51:52Z,627,1279,610
2021-02-15T15:27:00Z,627,1282,637
2021-02-23T16:53:10Z,627,1288,640
2021-03-02T19:24:18Z,629,1290,640
2021-03-22T15:58:17Z,630,1301,650
2021-03-30T16:05:47Z,631,1305,662
2021-04-06T14:24:29Z,632,1308,659
2021-04-13T16:26:12Z,634,1312,662
2021-04-19T14:28:56Z,637,1315,663
2021-04-26T13:53:20Z,639,1321,667
2021-05-03T14:16:20Z,641,1329,660
2021-05-11T15:17:03Z,641,1337,666
2021-06-14T13:52:22Z,645,1343,627
2021-06-30T12:40:41Z,645,1346,630
2021-08-16T18:03:24Z,654,1364,616
2021-08-31T16:23:52Z,654,1372,619
2021-09-07T15:14:04Z,655,1380,602
2021-09-13T15:07:04Z,655,1383,606
